product,actual_contracts,active_actual_periods,stage9_status,blocked_reasons
oi,OI2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
op,OP2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
p,P2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
pb,PB2608,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
pd,PD2608,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
pf,PF2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
pg,PG2608,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
pk,PK2610,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
pl,PL2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
pm,PM2607,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
pp,PP2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
pp_f,PP2609F,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
pr,PR2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
ps,PS2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
pt,PT2608,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
px,PX2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
rb,RB2610,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
ri,RI2607,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
rm,RM2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
rr,RR2608,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
rs,RS2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
ru,RU2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
sa,SA2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
sc,SC2608,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
sf,SF2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
sh,SH2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
si,SI2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
sm,SM2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
sn,SN2608,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
sp,SP2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
sr,SR2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
ss,SS2608,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
t,T2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
ta,TA2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
tf,TF2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
tl,TL2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
ts,TS2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
ur,UR2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
v,V2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
v_f,V2609F,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
wh,WH2607,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
wr,WR2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
y,Y2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
zc,ZC2607,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
zn,ZN2608,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
