datetime,datetime_nano,KQ.m@DCE.v.open,KQ.m@DCE.v.high,KQ.m@DCE.v.low,KQ.m@DCE.v.close,KQ.m@DCE.v.volume,KQ.m@DCE.v.open_oi,KQ.m@DCE.v.close_oi
2022-03-31 21:00:00.000000000,1648731600000000000,9238,9244,9226,9233,12157,356307,355028
2022-03-31 21:01:00.000000000,1648731660000000000,9233,9239,9232,9238,6123,355028,354054
2022-03-31 21:02:00.000000000,1648731720000000000,9238,9238,9231,9231,4685,354054,353358
2022-03-31 21:03:00.000000000,1648731780000000000,9231,9235,9223,9233,4620,353358,352797
2022-03-31 21:04:00.000000000,1648731840000000000,9233,9236,9229,9230,3267,352797,352768
2022-03-31 21:05:00.000000000,1648731900000000000,9230,9233,9218,9221,4659,352768,352755
2022-03-31 21:06:00.000000000,1648731960000000000,9221,9223,9217,9223,3617,352755,352215
2022-03-31 21:07:00.000000000,1648732020000000000,9223,9227,9215,9216,3976,352215,351680
2022-03-31 21:08:00.000000000,1648732080000000000,9216,9216,9204,9210,4409,351680,351394
2022-03-31 21:09:00.000000000,1648732140000000000,9210,9218,9209,9217,3320,351394,350919
2022-03-31 21:10:00.000000000,1648732200000000000,9217,9219,9213,9217,3502,350919,351002
2022-03-31 21:11:00.000000000,1648732260000000000,9217,9223,9214,9221,2835,351002,350975
2022-03-31 21:12:00.000000000,1648732320000000000,9221,9221,9215,9216,1971,350975,351035
2022-03-31 21:13:00.000000000,1648732380000000000,9216,9231,9216,9230,2774,351035,351060
2022-03-31 21:14:00.000000000,1648732440000000000,9230,9238,9227,9233,3752,351060,351128
2022-03-31 21:15:00.000000000,1648732500000000000,9233,9239,9231,9239,2579,351128,351340
2022-03-31 21:16:00.000000000,1648732560000000000,9239,9239,9233,9236,1852,351340,351155
2022-03-31 21:17:00.000000000,1648732620000000000,9236,9238,9232,9237,1702,351155,351257
2022-03-31 21:18:00.000000000,1648732680000000000,9237,9238,9231,9232,1851,351257,351309
2022-03-31 21:19:00.000000000,1648732740000000000,9232,9236,9230,9235,1513,351309,351256
2022-03-31 21:20:00.000000000,1648732800000000000,9235,9240,9235,9239,3567,351256,351340
2022-03-31 21:21:00.000000000,1648732860000000000,9239,9240,9232,9234,4145,351340,350758
2022-03-31 21:22:00.000000000,1648732920000000000,9234,9238,9234,9236,1353,350758,350697
2022-03-31 21:23:00.000000000,1648732980000000000,9236,9257,9235,9249,5867,350697,350808
2022-03-31 21:24:00.000000000,1648733040000000000,9249,9268,9249,9267,4982,350808,350625
2022-03-31 21:25:00.000000000,1648733100000000000,9267,9277,9266,9266,6745,350625,350401
2022-03-31 21:26:00.000000000,1648733160000000000,9266,9267,9261,9265,6127,350401,350340
2022-03-31 21:27:00.000000000,1648733220000000000,9265,9267,9254,9262,5037,350340,350724
2022-03-31 21:28:00.000000000,1648733280000000000,9262,9262,9253,9256,1847,350724,350837
2022-03-31 21:29:00.000000000,1648733340000000000,9256,9257,9252,9253,1887,350837,350772
2022-03-31 21:30:00.000000000,1648733400000000000,9253,9259,9252,9256,2132,350772,350671
2022-03-31 21:31:00.000000000,1648733460000000000,9256,9257,9243,9246,3884,350671,350098
2022-03-31 21:32:00.000000000,1648733520000000000,9246,9251,9244,9248,1447,350098,350021
2022-03-31 21:33:00.000000000,1648733580000000000,9248,9255,9247,9253,2200,350021,350245
2022-03-31 21:34:00.000000000,1648733640000000000,9253,9264,9252,9261,2911,350245,350640
2022-03-31 21:35:00.000000000,1648733700000000000,9261,9267,9257,9260,2469,350640,350755
2022-03-31 21:36:00.000000000,1648733760000000000,9260,9265,9253,9253,1572,350755,350887
2022-03-31 21:37:00.000000000,1648733820000000000,9253,9263,9253,9263,1432,350887,350878
2022-03-31 21:38:00.000000000,1648733880000000000,9263,9265,9259,9260,1036,350878,350937
2022-03-31 21:39:00.000000000,1648733940000000000,9260,9264,9255,9263,1713,350937,351050
2022-03-31 21:40:00.000000000,1648734000000000000,9263,9268,9259,9259,1793,351050,350992
2022-03-31 21:41:00.000000000,1648734060000000000,9259,9261,9255,9260,1654,350992,351134
2022-03-31 21:42:00.000000000,1648734120000000000,9260,9266,9257,9265,1070,351134,351181
