datetime,datetime_nano,KQ.m@DCE.i.open,KQ.m@DCE.i.high,KQ.m@DCE.i.low,KQ.m@DCE.i.close,KQ.m@DCE.i.volume,KQ.m@DCE.i.open_oi,KQ.m@DCE.i.close_oi
2023-01-31 21:00:00.000000000,1675170000000000000,866.5,868.0,866.0,866.5,14135,842699,840858
2023-01-31 21:01:00.000000000,1675170060000000000,866.5,868.5,865.5,868.5,7632,840858,841235
2023-01-31 21:02:00.000000000,1675170120000000000,868.5,869.0,867.5,869.0,3375,841235,841614
2023-01-31 21:03:00.000000000,1675170180000000000,869.0,869.0,868.0,869.0,2359,841614,841397
2023-01-31 21:04:00.000000000,1675170240000000000,869.0,869.0,868.0,868.5,1877,841397,841401
2023-01-31 21:05:00.000000000,1675170300000000000,868.5,868.5,867.5,868.5,4307,841401,841639
2023-01-31 21:06:00.000000000,1675170360000000000,868.5,870.5,868.0,870.5,4701,841639,843001
2023-01-31 21:07:00.000000000,1675170420000000000,870.5,870.5,869.0,870.0,2954,843001,843282
2023-01-31 21:08:00.000000000,1675170480000000000,870.0,870.0,868.5,868.5,1631,843282,843313
2023-01-31 21:09:00.000000000,1675170540000000000,868.5,869.0,868.0,868.5,1348,843313,843433
2023-01-31 21:10:00.000000000,1675170600000000000,868.5,869.0,867.5,867.5,1537,843433,843447
2023-01-31 21:11:00.000000000,1675170660000000000,867.5,868.0,865.5,866.5,5555,843447,843492
2023-01-31 21:12:00.000000000,1675170720000000000,866.5,866.5,865.5,866.0,4987,843492,842965
2023-01-31 21:13:00.000000000,1675170780000000000,866.0,868.0,866.0,867.5,3958,842965,843506
2023-01-31 21:14:00.000000000,1675170840000000000,867.5,868.5,867.5,868.0,2090,843506,843128
2023-01-31 21:15:00.000000000,1675170900000000000,868.0,868.0,867.0,868.0,1063,843128,843099
2023-01-31 21:16:00.000000000,1675170960000000000,868.0,868.0,867.0,868.0,1043,843099,843189
2023-01-31 21:17:00.000000000,1675171020000000000,868.0,868.5,867.5,868.5,792,843189,843076
2023-01-31 21:18:00.000000000,1675171080000000000,868.5,868.5,867.5,868.5,1494,843076,843148
2023-01-31 21:19:00.000000000,1675171140000000000,868.5,869.0,867.5,868.0,2036,843148,843383
2023-01-31 21:20:00.000000000,1675171200000000000,868.0,868.5,868.0,868.5,694,843383,843501
2023-01-31 21:21:00.000000000,1675171260000000000,868.5,868.5,868.0,868.5,303,843501,843496
2023-01-31 21:22:00.000000000,1675171320000000000,868.5,868.5,867.5,868.0,1832,843496,843439
2023-01-31 21:23:00.000000000,1675171380000000000,868.0,868.0,867.5,868.0,648,843439,843487
2023-01-31 21:24:00.000000000,1675171440000000000,868.0,868.0,867.5,868.0,363,843487,843562
2023-01-31 21:25:00.000000000,1675171500000000000,868.0,868.5,867.5,868.5,814,843562,843633
2023-01-31 21:26:00.000000000,1675171560000000000,868.5,868.5,867.5,868.0,917,843633,843572
2023-01-31 21:27:00.000000000,1675171620000000000,868.0,868.0,867.5,868.0,343,843572,843723
2023-01-31 21:28:00.000000000,1675171680000000000,868.0,868.0,867.0,867.0,668,843723,843845
2023-01-31 21:29:00.000000000,1675171740000000000,867.0,867.5,866.0,866.5,1310,843845,843801
2023-01-31 21:30:00.000000000,1675171800000000000,866.5,868.0,866.5,868.0,1495,843801,843929
2023-01-31 21:31:00.000000000,1675171860000000000,868.0,868.0,867.0,867.5,525,843929,843878
2023-01-31 21:32:00.000000000,1675171920000000000,867.5,868.0,867.0,867.5,412,843878,843930
2023-01-31 21:33:00.000000000,1675171980000000000,867.5,868.5,867.5,867.5,926,843930,844218
2023-01-31 21:34:00.000000000,1675172040000000000,867.5,868.5,867.5,868.5,329,844218,844181
2023-01-31 21:35:00.000000000,1675172100000000000,868.5,868.5,868.0,868.5,173,844181,844129
2023-01-31 21:36:00.000000000,1675172160000000000,868.5,868.5,867.0,867.5,1261,844129,844340
2023-01-31 21:37:00.000000000,1675172220000000000,867.5,867.5,866.5,867.0,993,844340,844197
2023-01-31 21:38:00.000000000,1675172280000000000,867.0,867.0,866.5,867.0,1308,844197,844422
2023-01-31 21:39:00.000000000,1675172340000000000,867.0,867.0,866.5,866.5,288,844422,844543
2023-01-31 21:40:00.000000000,1675172400000000000,866.5,867.5,866.5,866.5,948,844543,844468
2023-01-31 21:41:00.000000000,1675172460000000000,866.5,867.0,866.5,867.0,428,844468,844447
2023-01-31 21:42:00.000000000,1675172520000000000,867.0,867.0,866.5,867.0,289,844447,844445
2023-01-31 21:43:00.000000000,1675172580000000000,867.0,867.0,866.5,866.5,507,844445,844307
2023-01-31 21:44:00.000000000,1675172640000000000,866.5,867.5,866.5,867.5,1015,844307,844246
2023-01-31 21:45:00.000000000,1675172700000000000,867.5,867.5,866.5,867.0,533,844246,844159
2023-01-31 21:46:00.000000000,1675172760000000000,867.0,867.0,865.5,866.5,2781,844159,844241
2023-01-31 21:47:00.000000000,1675172820000000000,866.5,866.5,866.0,866.5,270,844241,844245
2023-01-31 21:48:00.000000000,1675172880000000000,866.5,866.5,865.5,865.5,649,844245,844348
2023-01-31 21:49:00.000000000,1675172940000000000,865.5,867.0,865.5,867.0,1226,844348,844782
2023-01-31 21:50:00.000000000,1675173000000000000,867.0,867.5,866.5,867.5,1729,844782,844965
2023-01-31 21:51:00.000000000,1675173060000000000,867.5,868.0,867.0,867.5,1159,844965,844745
2023-01-31 21:52:00.000000000,1675173120000000000,867.5,869.0,867.5,869.0,2791,844745,844470
2023-01-31 21:53:00.000000000,1675173180000000000,869.0,869.0,868.0,868.0,1012,844470,844502
2023-01-31 21:54:00.000000000,1675173240000000000,868.0,869.0,868.0,868.5,1329,844502,844188
2023-01-31 21:55:00.000000000,1675173300000000000,868.5,869.0,868.5,869.0,641,844188,844078
2023-01-31 21:56:00.000000000,1675173360000000000,869.0,870.0,868.5,870.0,3052,844078,843972
2023-01-31 21:57:00.000000000,1675173420000000000,870.0,870.5,869.5,870.0,2581,843972,843325
2023-01-31 21:58:00.000000000,1675173480000000000,870.0,870.5,869.5,869.5,1600,843325,843020
2023-01-31 21:59:00.000000000,1675173540000000000,869.5,870.0,869.5,870.0,652,843020,843064
2023-01-31 22:00:00.000000000,1675173600000000000,870.0,870.0,869.5,870.0,1229,843064,843412
2023-01-31 22:01:00.000000000,1675173660000000000,870.0,870.5,869.5,870.0,821,843412,843415
2023-01-31 22:02:00.000000000,1675173720000000000,870.0,870.0,869.5,869.5,317,843415,843421
