datetime,datetime_nano,KQ.m@SHFE.cu.open,KQ.m@SHFE.cu.high,KQ.m@SHFE.cu.low,KQ.m@SHFE.cu.close,KQ.m@SHFE.cu.volume,KQ.m@SHFE.cu.open_oi,KQ.m@SHFE.cu.close_oi
2023-08-31 21:00:00.000000000,1693486800000000000,69380,69460,69360,69440,2098,159215,159254
2023-08-31 21:01:00.000000000,1693486860000000000,69440,69450,69390,69430,599,159254,159290
2023-08-31 21:02:00.000000000,1693486920000000000,69430,69430,69400,69420,287,159290,159307
2023-08-31 21:03:00.000000000,1693486980000000000,69420,69430,69380,69400,493,159307,159272
2023-08-31 21:04:00.000000000,1693487040000000000,69400,69400,69360,69360,403,159272,159323
2023-08-31 21:05:00.000000000,1693487100000000000,69360,69360,69320,69330,392,159323,159286
2023-08-31 21:06:00.000000000,1693487160000000000,69330,69350,69330,69340,339,159286,159257
2023-08-31 21:07:00.000000000,1693487220000000000,69340,69340,69300,69320,615,159257,159434
2023-08-31 21:08:00.000000000,1693487280000000000,69320,69330,69280,69320,301,159434,159410
2023-08-31 21:09:00.000000000,1693487340000000000,69320,69340,69300,69300,343,159410,159467
2023-08-31 21:10:00.000000000,1693487400000000000,69300,69310,69280,69310,302,159467,159400
2023-08-31 21:11:00.000000000,1693487460000000000,69310,69340,69300,69310,305,159400,159392
2023-08-31 21:12:00.000000000,1693487520000000000,69310,69320,69280,69280,208,159392,159379
2023-08-31 21:13:00.000000000,1693487580000000000,69280,69310,69270,69300,272,159379,159413
2023-08-31 21:14:00.000000000,1693487640000000000,69300,69320,69290,69290,78,159413,159401
2023-08-31 21:15:00.000000000,1693487700000000000,69290,69310,69270,69300,151,159401,159363
2023-08-31 21:16:00.000000000,1693487760000000000,69300,69300,69270,69290,155,159363,159359
2023-08-31 21:17:00.000000000,1693487820000000000,69290,69320,69290,69320,188,159359,159384
2023-08-31 21:18:00.000000000,1693487880000000000,69320,69330,69300,69330,119,159384,159417
2023-08-31 21:19:00.000000000,1693487940000000000,69330,69350,69320,69330,209,159417,159424
2023-08-31 21:20:00.000000000,1693488000000000000,69330,69340,69320,69340,160,159424,159422
2023-08-31 21:21:00.000000000,1693488060000000000,69340,69340,69320,69330,47,159422,159425
2023-08-31 21:22:00.000000000,1693488120000000000,69330,69340,69290,69300,113,159425,159387
2023-08-31 21:23:00.000000000,1693488180000000000,69300,69300,69280,69290,120,159387,159333
2023-08-31 21:24:00.000000000,1693488240000000000,69290,69310,69290,69290,137,159333,159293
2023-08-31 21:25:00.000000000,1693488300000000000,69290,69300,69260,69260,208,159293,159324
2023-08-31 21:26:00.000000000,1693488360000000000,69260,69280,69260,69270,98,159324,159301
2023-08-31 21:27:00.000000000,1693488420000000000,69270,69290,69270,69270,55,159301,159298
2023-08-31 21:28:00.000000000,1693488480000000000,69270,69280,69250,69270,324,159298,159286
2023-08-31 21:29:00.000000000,1693488540000000000,69270,69280,69250,69260,106,159286,159244
2023-08-31 21:30:00.000000000,1693488600000000000,69260,69260,69240,69240,260,159244,159197
2023-08-31 21:31:00.000000000,1693488660000000000,69240,69240,69180,69190,606,159197,159013
2023-08-31 21:32:00.000000000,1693488720000000000,69190,69200,69150,69170,886,159013,158754
2023-08-31 21:33:00.000000000,1693488780000000000,69170,69200,69160,69200,245,158754,158700
2023-08-31 21:34:00.000000000,1693488840000000000,69200,69210,69160,69170,515,158700,158689
2023-08-31 21:35:00.000000000,1693488900000000000,69170,69170,69120,69130,461,158689,158572
2023-08-31 21:36:00.000000000,1693488960000000000,69130,69160,69110,69140,352,158572,158535
2023-08-31 21:37:00.000000000,1693489020000000000,69140,69180,69140,69170,166,158535,158520
2023-08-31 21:38:00.000000000,1693489080000000000,69170,69180,69160,69160,141,158520,158524
2023-08-31 21:39:00.000000000,1693489140000000000,69160,69170,69130,69130,215,158524,158477
2023-08-31 21:40:00.000000000,1693489200000000000,69130,69170,69130,69150,242,158477,158412
2023-08-31 21:41:00.000000000,1693489260000000000,69150,69200,69150,69200,316,158412,158338
2023-08-31 21:42:00.000000000,1693489320000000000,69200,69200,69160,69180,341,158338,158307
2023-08-31 21:43:00.000000000,1693489380000000000,69180,69180,69160,69170,58,158307,158278
2023-08-31 21:44:00.000000000,1693489440000000000,69170,69170,69150,69170,83,158278,158264
2023-08-31 21:45:00.000000000,1693489500000000000,69170,69240,69160,69230,386,158264,158109
2023-08-31 21:46:00.000000000,1693489560000000000,69230,69230,69180,69190,246,158109,158022
2023-08-31 21:47:00.000000000,1693489620000000000,69190,69190,69130,69140,358,158022,157940
2023-08-31 21:48:00.000000000,1693489680000000000,69140,69190,69130,69180,120,157940,157909
2023-08-31 21:49:00.000000000,1693489740000000000,69180,69190,69170,69180,73,157909,157894
2023-08-31 21:50:00.000000000,1693489800000000000,69180,69210,69180,69210,164,157894,157848
2023-08-31 21:51:00.000000000,1693489860000000000,69210,69220,69190,69200,81,157848,157794
2023-08-31 21:52:00.000000000,1693489920000000000,69200,69200,69180,69190,32,157794,157801
2023-08-31 21:53:00.000000000,1693489980000000000,69190,69200,69180,69190,30,157801,157810
2023-08-31 21:54:00.000000000,1693490040000000000,69190,69200,69180,69190,42,157810,157795
2023-08-31 21:55:00.000000000,1693490100000000000,69190,69190,69160,69160,77,157795,157767
2023-08-31 21:56:00.000000000,1693490160000000000,69160,69180,69160,69180,52,157767,157744
2023-08-31 21:57:00.000000000,1693490220000000000,69180,69190,69160,69190,83,157744,157737
2023-08-31 21:58:00.000000000,1693490280000000000,69190,69200,69180,69190,63,157737,157744
2023-08-31 21:59:00.000000000,1693490340000000000,69190,69200,69180,69200,34,157744,157733
2023-08-31 22:00:00.000000000,1693490400000000000,69200,69230,69190,69220,185,157733,157652
2023-08-31 22:01:00.000000000,1693490460000000000,69220,69260,69210,69260,164,157652,157646
2023-08-31 22:02:00.000000000,1693490520000000000,69260,69260,69220,69220,87,157646,157624
2023-08-31 22:03:00.000000000,1693490580000000000,69220,69250,69220,69250,71,157624,157597
2023-08-31 22:04:00.000000000,1693490640000000000,69250,69250,69230,69230,101,157597,157584
2023-08-31 22:05:00.000000000,1693490700000000000,69230,69250,69230,69240,58,157584,157559
2023-08-31 22:06:00.000000000,1693490760000000000,69240,69270,69220,69270,105,157559,157530
2023-08-31 22:07:00.000000000,1693490820000000000,69270,69270,69240,69250,64,157530,157534
2023-08-31 22:08:00.000000000,1693490880000000000,69250,69260,69240,69260,59,157534,157537
2023-08-31 22:09:00.000000000,1693490940000000000,69260,69260,69240,69260,57,157537,157516
2023-08-31 22:10:00.000000000,1693491000000000000,69260,69260,69230,69240,66,157516,157510
2023-08-31 22:11:00.000000000,1693491060000000000,69240,69250,69220,69220,76,157510,157503
2023-08-31 22:12:00.000000000,1693491120000000000,69220,69220,69200,69200,27,157503,157503
2023-08-31 22:13:00.000000000,1693491180000000000,69200,69230,69200,69220,37,157503,157505
2023-08-31 22:14:00.000000000,1693491240000000000,69220,69230,69190,69210,126,157505,157509
2023-08-31 22:15:00.000000000,1693491300000000000,69210,69220,69200,69220,10,157509,157509
2023-08-31 22:16:00.000000000,1693491360000000000,69220,69220,69190,69200,16,157509,157505
2023-08-31 22:17:00.000000000,1693491420000000000,69200,69200,69180,69190,33,157505,157494
2023-08-31 22:18:00.000000000,1693491480000000000,69190,69210,69170,69210,71,157494,157508
2023-08-31 22:19:00.000000000,1693491540000000000,69210,69210,69180,69180,35,157508,157495
2023-08-31 22:20:00.000000000,1693491600000000000,69180,69210,69180,69210,71,157495,157488
2023-08-31 22:21:00.000000000,1693491660000000000,69210,69230,69200,69210,73,157488,157501
2023-08-31 22:22:00.000000000,1693491720000000000,69210,69230,69210,69230,26,157501,157507
2023-08-31 22:23:00.000000000,1693491780000000000,69230,69250,69230,69230,67,157507,157510
2023-08-31 22:24:00.000000000,1693491840000000000,69230,69240,69230,69230,16,157510,157511
2023-08-31 22:25:00.000000000,1693491900000000000,69230,69240,69220,69240,21,157511,157505
2023-08-31 22:26:00.000000000,1693491960000000000,69240,69250,69230,69240,23,157505,157500
2023-08-31 22:27:00.000000000,1693492020000000000,69240,69280,69240,69270,96,157500,157489
2023-08-31 22:28:00.000000000,1693492080000000000,69270,69290,69270,69280,120,157489,157514
2023-08-31 22:29:00.000000000,1693492140000000000,69280,69290,69270,69280,56,157514,157509
2023-08-31 22:30:00.000000000,1693492200000000000,69280,69290,69280,69280,136,157509,157474
2023-08-31 22:31:00.000000000,1693492260000000000,69280,69290,69250,69260,85,157474,157486
2023-08-31 22:32:00.000000000,1693492320000000000,69260,69260,69230,69240,96,157486,157460
2023-08-31 22:33:00.000000000,1693492380000000000,69240,69260,69220,69260,35,157460,157466
2023-08-31 22:34:00.000000000,1693492440000000000,69260,69260,69250,69250,14,157466,157473
2023-08-31 22:35:00.000000000,1693492500000000000,69250,69290,69250,69290,123,157473,157474
2023-08-31 22:36:00.000000000,1693492560000000000,69290,69330,69280,69310,495,157474,157485
2023-08-31 22:37:00.000000000,1693492620000000000,69310,69320,69280,69300,54,157485,157484
2023-08-31 22:38:00.000000000,1693492680000000000,69300,69300,69280,69300,30,157484,157500
2023-08-31 22:39:00.000000000,1693492740000000000,69300,69310,69290,69300,11,157500,157497
2023-08-31 22:40:00.000000000,1693492800000000000,69300,69310,69290,69300,17,157497,157499
2023-08-31 22:41:00.000000000,1693492860000000000,69300,69300,69290,69290,41,157499,157486
2023-08-31 22:42:00.000000000,1693492920000000000,69290,69300,69250,69260,61,157486,157472
2023-08-31 22:43:00.000000000,1693492980000000000,69260,69280,69260,69280,32,157472,157473
2023-08-31 22:44:00.000000000,1693493040000000000,69280,69280,69270,69280,23,157473,157464
2023-08-31 22:45:00.000000000,1693493100000000000,69280,69280,69260,69280,34,157464,157465
2023-08-31 22:46:00.000000000,1693493160000000000,69280,69280,69260,69260,61,157465,157423
2023-08-31 22:47:00.000000000,1693493220000000000,69260,69280,69260,69280,18,157423,157424
2023-08-31 22:48:00.000000000,1693493280000000000,69280,69280,69250,69260,47,157424,157433
2023-08-31 22:49:00.000000000,1693493340000000000,69260,69260,69240,69240,82,157433,157420
2023-08-31 22:50:00.000000000,1693493400000000000,69240,69250,69220,69250,59,157420,157404
2023-08-31 22:51:00.000000000,1693493460000000000,69250,69250,69240,69240,20,157404,157413
2023-08-31 22:52:00.000000000,1693493520000000000,69240,69260,69230,69250,22,157413,157418
2023-08-31 22:53:00.000000000,1693493580000000000,69250,69250,69240,69240,22,157418,157424
2023-08-31 22:54:00.000000000,1693493640000000000,69240,69250,69230,69240,17,157424,157422
2023-08-31 22:55:00.000000000,1693493700000000000,69240,69240,69220,69230,41,157422,157415
2023-08-31 22:56:00.000000000,1693493760000000000,69230,69250,69230,69230,25,157415,157416
2023-08-31 22:57:00.000000000,1693493820000000000,69230,69240,69220,69240,43,157416,157442
2023-08-31 22:58:00.000000000,1693493880000000000,69240,69260,69230,69250,67,157442,157434
2023-08-31 22:59:00.000000000,1693493940000000000,69250,69260,69230,69240,25,157434,157427
2023-08-31 23:00:00.000000000,1693494000000000000,69240,69280,69240,69280,73,157427,157421
2023-08-31 23:01:00.000000000,1693494060000000000,69280,69290,69270,69280,60,157421,157446
2023-08-31 23:02:00.000000000,1693494120000000000,69280,69280,69270,69280,66,157446,157449
2023-08-31 23:03:00.000000000,1693494180000000000,69280,69290,69280,69290,20,157449,157445
2023-08-31 23:04:00.000000000,1693494240000000000,69290,69300,69290,69290,45,157445,157446
2023-08-31 23:05:00.000000000,1693494300000000000,69290,69300,69280,69300,39,157446,157449
2023-08-31 23:06:00.000000000,1693494360000000000,69300,69300,69280,69300,19,157449,157455
2023-08-31 23:07:00.000000000,1693494420000000000,69300,69300,69260,69270,91,157455,157489
2023-08-31 23:08:00.000000000,1693494480000000000,69270,69270,69250,69250,11,157489,157487
2023-08-31 23:09:00.000000000,1693494540000000000,69250,69270,69250,69260,18,157487,157486
2023-08-31 23:10:00.000000000,1693494600000000000,69260,69270,69250,69270,16,157486,157487
2023-08-31 23:11:00.000000000,1693494660000000000,69270,69280,69240,69240,47,157487,157480
2023-08-31 23:12:00.000000000,1693494720000000000,69240,69260,69240,69260,49,157480,157473
2023-08-31 23:13:00.000000000,1693494780000000000,69260,69260,69240,69260,28,157473,157473
2023-08-31 23:14:00.000000000,1693494840000000000,69260,69270,69260,69270,89,157473,157446
2023-08-31 23:15:00.000000000,1693494900000000000,69270,69280,69270,69280,47,157446,157453
2023-08-31 23:16:00.000000000,1693494960000000000,69280,69290,69270,69290,81,157453,157434
2023-08-31 23:17:00.000000000,1693495020000000000,69290,69290,69270,69280,32,157434,157436
2023-08-31 23:18:00.000000000,1693495080000000000,69280,69280,69270,69270,45,157436,157453
2023-08-31 23:19:00.000000000,1693495140000000000,69270,69280,69260,69260,7,157453,157457
2023-08-31 23:20:00.000000000,1693495200000000000,69260,69280,69260,69280,31,157457,157473
2023-08-31 23:21:00.000000000,1693495260000000000,69280,69280,69260,69270,11,157473,157474
2023-08-31 23:22:00.000000000,1693495320000000000,69270,69270,69260,69270,28,157474,157477
2023-08-31 23:23:00.000000000,1693495380000000000,69270,69280,69260,69260,34,157477,157465
2023-08-31 23:24:00.000000000,1693495440000000000,69260,69270,69250,69260,28,157465,157461
2023-08-31 23:25:00.000000000,1693495500000000000,69260,69260,69230,69240,51,157461,157450
2023-08-31 23:26:00.000000000,1693495560000000000,69240,69260,69230,69260,23,157450,157449
2023-08-31 23:27:00.000000000,1693495620000000000,69260,69270,69250,69260,24,157449,157447
2023-08-31 23:28:00.000000000,1693495680000000000,69260,69260,69240,69240,6,157447,157451
2023-08-31 23:29:00.000000000,1693495740000000000,69240,69260,69240,69250,41,157451,157451
2023-08-31 23:30:00.000000000,1693495800000000000,69250,69250,69240,69250,22,157451,157462
2023-08-31 23:31:00.000000000,1693495860000000000,69250,69250,69230,69240,16,157462,157461
2023-08-31 23:32:00.000000000,1693495920000000000,69240,69240,69230,69240,22,157461,157456
2023-08-31 23:33:00.000000000,1693495980000000000,69240,69250,69230,69230,14,157456,157459
2023-08-31 23:34:00.000000000,1693496040000000000,69230,69230,69220,69220,31,157459,157448
2023-08-31 23:35:00.000000000,1693496100000000000,69220,69230,69210,69220,40,157448,157437
2023-08-31 23:36:00.000000000,1693496160000000000,69220,69240,69220,69240,46,157437,157456
2023-08-31 23:37:00.000000000,1693496220000000000,69240,69240,69230,69240,11,157456,157451
2023-08-31 23:38:00.000000000,1693496280000000000,69240,69240,69220,69240,90,157451,157417
2023-08-31 23:39:00.000000000,1693496340000000000,69240,69250,69230,69240,14,157417,157412
2023-08-31 23:40:00.000000000,1693496400000000000,69240,69260,69240,69250,24,157412,157418
2023-08-31 23:41:00.000000000,1693496460000000000,69250,69250,69240,69240,4,157418,157414
2023-08-31 23:42:00.000000000,1693496520000000000,69240,69250,69230,69250,7,157414,157412
2023-08-31 23:43:00.000000000,1693496580000000000,69250,69250,69230,69230,13,157412,157406
2023-08-31 23:44:00.000000000,1693496640000000000,69230,69230,69220,69230,83,157406,157347
2023-08-31 23:45:00.000000000,1693496700000000000,69230,69240,69220,69230,24,157347,157344
2023-08-31 23:46:00.000000000,1693496760000000000,69230,69240,69220,69220,13,157344,157352
2023-08-31 23:47:00.000000000,1693496820000000000,69220,69220,69210,69210,10,157352,157355
2023-08-31 23:48:00.000000000,1693496880000000000,69210,69220,69200,69220,58,157355,157343
2023-08-31 23:49:00.000000000,1693496940000000000,69220,69220,69210,69210,9,157343,157347
2023-08-31 23:50:00.000000000,1693497000000000000,69210,69230,69210,69230,16,157347,157342
2023-08-31 23:51:00.000000000,1693497060000000000,69230,69230,69210,69220,12,157342,157344
2023-08-31 23:52:00.000000000,1693497120000000000,69220,69230,69210,69210,12,157344,157342
2023-08-31 23:53:00.000000000,1693497180000000000,69210,69220,69200,69200,22,157342,157346
2023-08-31 23:54:00.000000000,1693497240000000000,69200,69220,69200,69220,11,157346,157348
2023-08-31 23:55:00.000000000,1693497300000000000,69220,69220,69210,69210,11,157348,157350
2023-08-31 23:56:00.000000000,1693497360000000000,69210,69220,69210,69220,5,157350,157350
2023-08-31 23:57:00.000000000,1693497420000000000,69220,69220,69220,69220,6,157350,157349
2023-08-31 23:58:00.000000000,1693497480000000000,69220,69230,69210,69220,21,157349,157353
2023-08-31 23:59:00.000000000,1693497540000000000,69220,69240,69220,69230,13,157353,157357
2023-09-01 00:00:00.000000000,1693497600000000000,69230,69250,69220,69220,70,157357,157364
2023-09-01 00:01:00.000000000,1693497660000000000,69220,69240,69220,69240,4,157364,157365
2023-09-01 00:02:00.000000000,1693497720000000000,69240,69240,69220,69220,4,157365,157365
2023-09-01 00:03:00.000000000,1693497780000000000,69220,69230,69210,69230,8,157365,157359
2023-09-01 00:04:00.000000000,1693497840000000000,69230,69230,69220,69220,5,157359,157364
2023-09-01 00:05:00.000000000,1693497900000000000,69220,69220,69220,69220,1,157364,157364
2023-09-01 00:06:00.000000000,1693497960000000000,69220,69230,69220,69230,19,157364,157366
2023-09-01 00:07:00.000000000,1693498020000000000,69230,69230,69220,69230,10,157366,157360
2023-09-01 00:08:00.000000000,1693498080000000000,69230,69230,69220,69220,3,157360,157362
2023-09-01 00:09:00.000000000,1693498140000000000,69220,69240,69220,69240,27,157362,157360
2023-09-01 00:10:00.000000000,1693498200000000000,69240,69250,69240,69250,21,157360,157356
2023-09-01 00:11:00.000000000,1693498260000000000,69250,69250,69240,69240,6,157356,157353
2023-09-01 00:12:00.000000000,1693498320000000000,69240,69250,69240,69250,12,157353,157355
2023-09-01 00:13:00.000000000,1693498380000000000,69250,69260,69240,69250,17,157355,157351
2023-09-01 00:14:00.000000000,1693498440000000000,69250,69250,69250,69250,9,157351,157352
2023-09-01 00:15:00.000000000,1693498500000000000,69250,69250,69240,69240,5,157352,157355
2023-09-01 00:16:00.000000000,1693498560000000000,69240,69250,69240,69240,9,157355,157357
2023-09-01 00:17:00.000000000,1693498620000000000,69240,69240,69230,69240,9,157357,157357
2023-09-01 00:18:00.000000000,1693498680000000000,69240,69240,69230,69230,12,157357,157357
2023-09-01 00:19:00.000000000,1693498740000000000,69230,69230,69230,69230,1,157357,157358
2023-09-01 00:20:00.000000000,1693498800000000000,69230,69230,69220,69230,15,157358,157357
2023-09-01 00:21:00.000000000,1693498860000000000,69230,69230,69220,69230,21,157357,157355
2023-09-01 00:22:00.000000000,1693498920000000000,69230,69230,69220,69230,6,157355,157361
2023-09-01 00:23:00.000000000,1693498980000000000,69230,69230,69210,69230,21,157361,157351
2023-09-01 00:24:00.000000000,1693499040000000000,69230,69230,69210,69220,22,157351,157350
2023-09-01 00:25:00.000000000,1693499100000000000,69220,69220,69210,69210,3,157350,157352
2023-09-01 00:26:00.000000000,1693499160000000000,69210,69220,69210,69210,7,157352,157357
2023-09-01 00:27:00.000000000,1693499220000000000,69210,69230,69210,69220,2,157357,157355
2023-09-01 00:28:00.000000000,1693499280000000000,69220,69220,69220,69220,6,157355,157354
2023-09-01 00:29:00.000000000,1693499340000000000,69220,69220,69210,69220,4,157354,157358
2023-09-01 00:30:00.000000000,1693499400000000000,69220,69230,69210,69210,27,157358,157362
2023-09-01 00:31:00.000000000,1693499460000000000,69210,69210,69210,69210,0,157362,157362
