datetime,datetime_nano,KQ.m@SHFE.al.open,KQ.m@SHFE.al.high,KQ.m@SHFE.al.low,KQ.m@SHFE.al.close,KQ.m@SHFE.al.volume,KQ.m@SHFE.al.open_oi,KQ.m@SHFE.al.close_oi
2021-06-24 21:00:00.000000000,1624539600000000000,18720,18740,18665,18675,5167,207237,207499
2021-06-24 21:01:00.000000000,1624539660000000000,18675,18700,18675,18695,2166,207499,207819
2021-06-24 21:02:00.000000000,1624539720000000000,18695,18700,18680,18685,1334,207819,208175
2021-06-24 21:03:00.000000000,1624539780000000000,18685,18700,18675,18700,1069,208175,208476
2021-06-24 21:04:00.000000000,1624539840000000000,18700,18710,18695,18705,907,208476,208670
2021-06-24 21:05:00.000000000,1624539900000000000,18705,18735,18705,18720,1861,208670,208949
2021-06-24 21:06:00.000000000,1624539960000000000,18720,18725,18700,18705,924,208949,209195
2021-06-24 21:07:00.000000000,1624540020000000000,18705,18705,18685,18700,875,209195,209264
2021-06-24 21:08:00.000000000,1624540080000000000,18700,18710,18685,18705,943,209264,209417
2021-06-24 21:09:00.000000000,1624540140000000000,18705,18705,18685,18695,504,209417,209441
2021-06-24 21:10:00.000000000,1624540200000000000,18695,18695,18665,18670,1091,209441,209494
2021-06-24 21:11:00.000000000,1624540260000000000,18670,18685,18665,18685,497,209494,209585
2021-06-24 21:12:00.000000000,1624540320000000000,18685,18690,18675,18675,589,209585,209539
2021-06-24 21:13:00.000000000,1624540380000000000,18675,18685,18675,18680,309,209539,209550
2021-06-24 21:14:00.000000000,1624540440000000000,18680,18685,18665,18680,580,209550,209592
2021-06-24 21:15:00.000000000,1624540500000000000,18680,18700,18680,18700,1071,209592,209829
2021-06-24 21:16:00.000000000,1624540560000000000,18700,18700,18690,18695,805,209829,209509
2021-06-24 21:17:00.000000000,1624540620000000000,18695,18715,18695,18710,773,209509,209321
2021-06-24 21:18:00.000000000,1624540680000000000,18710,18725,18705,18720,848,209321,209259
2021-06-24 21:19:00.000000000,1624540740000000000,18720,18740,18715,18735,1149,209259,209437
2021-06-24 21:20:00.000000000,1624540800000000000,18735,18755,18730,18755,1762,209437,209591
2021-06-24 21:21:00.000000000,1624540860000000000,18755,18755,18740,18750,1603,209591,209295
2021-06-24 21:22:00.000000000,1624540920000000000,18750,18760,18735,18735,886,209295,209428
2021-06-24 21:23:00.000000000,1624540980000000000,18735,18755,18735,18745,458,209428,209367
2021-06-24 21:24:00.000000000,1624541040000000000,18745,18755,18740,18740,564,209367,209410
2021-06-24 21:25:00.000000000,1624541100000000000,18740,18750,18725,18730,402,209410,209309
2021-06-24 21:26:00.000000000,1624541160000000000,18730,18745,18730,18745,651,209309,209281
2021-06-24 21:27:00.000000000,1624541220000000000,18745,18745,18730,18735,229,209281,209289
