datetime,datetime_nano,KQ.m@DCE.i.open,KQ.m@DCE.i.high,KQ.m@DCE.i.low,KQ.m@DCE.i.close,KQ.m@DCE.i.volume,KQ.m@DCE.i.open_oi,KQ.m@DCE.i.close_oi
2026-02-27 21:00:00.000000000,1772197200000000000,750.0,752.0,749.5,752.0,8817,546682,547328
2026-02-27 21:01:00.000000000,1772197260000000000,752.0,752.0,749.0,750.0,5660,547328,547139
2026-02-27 21:02:00.000000000,1772197320000000000,750.0,750.0,749.5,749.5,1162,547139,547326
2026-02-27 21:03:00.000000000,1772197380000000000,749.5,751.0,749.5,750.0,2716,547326,547062
2026-02-27 21:04:00.000000000,1772197440000000000,750.0,751.5,749.5,751.0,1815,547062,547120
2026-02-27 21:05:00.000000000,1772197500000000000,751.0,752.0,750.0,750.0,2032,547120,547491
2026-02-27 21:06:00.000000000,1772197560000000000,750.0,751.0,750.0,751.0,853,547491,547064
2026-02-27 21:07:00.000000000,1772197620000000000,751.0,751.5,750.5,750.5,1699,547064,547263
2026-02-27 21:08:00.000000000,1772197680000000000,750.5,751.0,750.5,750.5,587,547263,547158
2026-02-27 21:09:00.000000000,1772197740000000000,750.5,751.0,750.5,751.0,945,547158,547299
2026-02-27 21:10:00.000000000,1772197800000000000,751.0,751.5,750.5,751.5,754,547299,547075
2026-02-27 21:11:00.000000000,1772197860000000000,751.5,752.0,751.0,751.5,2169,547075,547347
2026-02-27 21:12:00.000000000,1772197920000000000,751.5,751.5,751.0,751.0,675,547347,547372
2026-02-27 21:13:00.000000000,1772197980000000000,751.0,751.5,751.0,751.5,756,547372,547586
2026-02-27 21:14:00.000000000,1772198040000000000,751.5,752.0,751.0,752.0,1285,547586,547840
2026-02-27 21:15:00.000000000,1772198100000000000,752.0,752.0,751.5,752.0,422,547840,547916
2026-02-27 21:16:00.000000000,1772198160000000000,752.0,752.0,751.5,752.0,1055,547916,547958
2026-02-27 21:17:00.000000000,1772198220000000000,752.0,752.0,751.5,752.0,578,547958,548022
2026-02-27 21:18:00.000000000,1772198280000000000,752.0,752.0,751.0,752.0,1112,548022,548018
2026-02-27 21:19:00.000000000,1772198340000000000,752.0,752.0,751.5,752.0,409,548018,548059
2026-02-27 21:20:00.000000000,1772198400000000000,752.0,752.0,751.0,751.5,890,548059,548229
2026-02-27 21:21:00.000000000,1772198460000000000,751.5,752.0,751.0,751.0,426,548229,548448
2026-02-27 21:22:00.000000000,1772198520000000000,751.0,751.5,750.5,751.0,975,548448,548628
