datetime,datetime_nano,KQ.m@DCE.v.open,KQ.m@DCE.v.high,KQ.m@DCE.v.low,KQ.m@DCE.v.close,KQ.m@DCE.v.volume,KQ.m@DCE.v.open_oi,KQ.m@DCE.v.close_oi
2023-10-09 09:00:00.000000000,1696813200000000000,6040,6077,6033,6066,41421,804912,812116
2023-10-09 09:01:00.000000000,1696813260000000000,6066,6075,6066,6069,17437,812116,813794
2023-10-09 09:02:00.000000000,1696813320000000000,6069,6069,6044,6044,13823,813794,815212
2023-10-09 09:03:00.000000000,1696813380000000000,6044,6051,6038,6051,13414,815212,817283
2023-10-09 09:04:00.000000000,1696813440000000000,6051,6058,6051,6052,8531,817283,817136
2023-10-09 09:05:00.000000000,1696813500000000000,6052,6070,6052,6062,9947,817136,817875
2023-10-09 09:06:00.000000000,1696813560000000000,6062,6072,6059,6066,9576,817875,819030
2023-10-09 09:07:00.000000000,1696813620000000000,6066,6074,6061,6063,8102,819030,819694
2023-10-09 09:08:00.000000000,1696813680000000000,6063,6064,6049,6052,9223,819694,819549
2023-10-09 09:09:00.000000000,1696813740000000000,6052,6061,6050,6059,4149,819549,820085
2023-10-09 09:10:00.000000000,1696813800000000000,6059,6064,6043,6045,7574,820085,821504
2023-10-09 09:11:00.000000000,1696813860000000000,6045,6046,6040,6041,6723,821504,823029
2023-10-09 09:12:00.000000000,1696813920000000000,6041,6045,6040,6044,3530,823029,824052
2023-10-09 09:13:00.000000000,1696813980000000000,6044,6044,6039,6040,3870,824052,824929
2023-10-09 09:14:00.000000000,1696814040000000000,6040,6050,6039,6050,4128,824929,825137
2023-10-09 09:15:00.000000000,1696814100000000000,6050,6050,6042,6045,4454,825137,826082
2023-10-09 09:16:00.000000000,1696814160000000000,6045,6051,6043,6051,3273,826082,826656
2023-10-09 09:17:00.000000000,1696814220000000000,6051,6060,6051,6059,4010,826656,827266
2023-10-09 09:18:00.000000000,1696814280000000000,6059,6060,6056,6058,3798,827266,827097
2023-10-09 09:19:00.000000000,1696814340000000000,6058,6062,6056,6061,3238,827097,827160
2023-10-09 09:20:00.000000000,1696814400000000000,6061,6068,6061,6067,3761,827160,827583
2023-10-09 09:21:00.000000000,1696814460000000000,6067,6072,6067,6069,6864,827583,828363
2023-10-09 09:22:00.000000000,1696814520000000000,6069,6080,6069,6078,6370,828363,830030
2023-10-09 09:23:00.000000000,1696814580000000000,6078,6085,6078,6079,6062,830030,830690
2023-10-09 09:24:00.000000000,1696814640000000000,6079,6087,6076,6087,6308,830690,830773
2023-10-09 09:25:00.000000000,1696814700000000000,6087,6090,6084,6086,5334,830773,830569
2023-10-09 09:26:00.000000000,1696814760000000000,6086,6092,6083,6086,4515,830569,830654
2023-10-09 09:27:00.000000000,1696814820000000000,6086,6094,6086,6091,5375,830654,830874
2023-10-09 09:28:00.000000000,1696814880000000000,6091,6095,6089,6092,3999,830874,831002
2023-10-09 09:29:00.000000000,1696814940000000000,6092,6092,6086,6088,4359,831002,831302
2023-10-09 09:30:00.000000000,1696815000000000000,6088,6088,6078,6078,5406,831302,831371
2023-10-09 09:31:00.000000000,1696815060000000000,6078,6079,6073,6074,5011,831371,831409
2023-10-09 09:32:00.000000000,1696815120000000000,6074,6079,6071,6074,4725,831409,830453
2023-10-09 09:33:00.000000000,1696815180000000000,6074,6078,6072,6076,2486,830453,831139
2023-10-09 09:34:00.000000000,1696815240000000000,6076,6077,6070,6071,2658,831139,832041
2023-10-09 09:35:00.000000000,1696815300000000000,6071,6073,6062,6063,4331,832041,832346
2023-10-09 09:36:00.000000000,1696815360000000000,6063,6063,6059,6060,4210,832346,832758
2023-10-09 09:37:00.000000000,1696815420000000000,6060,6072,6060,6071,5087,832758,833467
2023-10-09 09:38:00.000000000,1696815480000000000,6071,6071,6063,6070,2971,833467,833804
2023-10-09 09:39:00.000000000,1696815540000000000,6070,6073,6068,6068,2039,833804,833972
2023-10-09 09:40:00.000000000,1696815600000000000,6068,6071,6065,6071,1208,833972,833940
2023-10-09 09:41:00.000000000,1696815660000000000,6071,6077,6071,6073,2630,833940,834154
2023-10-09 09:42:00.000000000,1696815720000000000,6073,6077,6072,6074,1809,834154,834264
2023-10-09 09:43:00.000000000,1696815780000000000,6074,6074,6069,6069,1398,834264,834583
2023-10-09 09:44:00.000000000,1696815840000000000,6069,6070,6067,6067,1985,834583,834703
2023-10-09 09:45:00.000000000,1696815900000000000,6067,6069,6062,6063,3407,834703,835439
2023-10-09 09:46:00.000000000,1696815960000000000,6063,6064,6056,6057,4978,835439,835802
2023-10-09 09:47:00.000000000,1696816020000000000,6057,6058,6051,6052,4702,835802,836165
2023-10-09 09:48:00.000000000,1696816080000000000,6052,6052,6048,6051,5664,836165,836398
2023-10-09 09:49:00.000000000,1696816140000000000,6051,6054,6049,6050,4694,836398,837081
2023-10-09 09:50:00.000000000,1696816200000000000,6050,6056,6049,6055,3702,837081,837273
2023-10-09 09:51:00.000000000,1696816260000000000,6055,6062,6055,6061,3371,837273,836635
2023-10-09 09:52:00.000000000,1696816320000000000,6061,6065,6060,6064,2718,836635,836116
2023-10-09 09:53:00.000000000,1696816380000000000,6064,6079,6064,6077,5152,836116,835411
2023-10-09 09:54:00.000000000,1696816440000000000,6077,6089,6077,6087,6903,835411,836263
2023-10-09 09:55:00.000000000,1696816500000000000,6087,6090,6085,6087,7956,836263,837497
2023-10-09 09:56:00.000000000,1696816560000000000,6087,6087,6082,6083,3997,837497,837474
2023-10-09 09:57:00.000000000,1696816620000000000,6083,6084,6077,6079,2432,837474,837423
2023-10-09 09:58:00.000000000,1696816680000000000,6079,6079,6072,6074,2076,837423,837668
2023-10-09 09:59:00.000000000,1696816740000000000,6074,6075,6072,6073,2571,837668,837815
2023-10-09 10:00:00.000000000,1696816800000000000,6073,6074,6071,6072,2580,837815,837856
2023-10-09 10:01:00.000000000,1696816860000000000,6072,6072,6067,6068,3088,837856,837782
2023-10-09 10:02:00.000000000,1696816920000000000,6068,6068,6053,6054,6496,837782,837005
2023-10-09 10:03:00.000000000,1696816980000000000,6054,6058,6053,6057,3382,837005,836818
2023-10-09 10:04:00.000000000,1696817040000000000,6057,6057,6053,6054,3137,836818,837379
2023-10-09 10:05:00.000000000,1696817100000000000,6054,6056,6051,6056,3556,837379,837617
2023-10-09 10:06:00.000000000,1696817160000000000,6056,6060,6053,6058,3162,837617,837746
2023-10-09 10:07:00.000000000,1696817220000000000,6058,6063,6056,6061,1788,837746,837591
2023-10-09 10:08:00.000000000,1696817280000000000,6061,6065,6060,6064,2055,837591,837520
2023-10-09 10:09:00.000000000,1696817340000000000,6064,6072,6064,6072,2644,837520,837459
2023-10-09 10:10:00.000000000,1696817400000000000,6072,6075,6070,6075,2670,837459,837163
2023-10-09 10:11:00.000000000,1696817460000000000,6075,6077,6068,6070,3292,837163,836927
2023-10-09 10:12:00.000000000,1696817520000000000,6070,6073,6066,6068,2751,836927,836913
2023-10-09 10:13:00.000000000,1696817580000000000,6068,6069,6065,6069,3138,836913,837275
2023-10-09 10:14:00.000000000,1696817640000000000,6069,6073,6068,6072,2069,837275,837298
2023-10-09 10:30:00.000000000,1696818600000000000,6072,6072,6060,6061,4253,837298,838155
2023-10-09 10:31:00.000000000,1696818660000000000,6061,6061,6058,6060,2156,838155,838576
