datetime,datetime_nano,KQ.m@SHFE.al.open,KQ.m@SHFE.al.high,KQ.m@SHFE.al.low,KQ.m@SHFE.al.close,KQ.m@SHFE.al.volume,KQ.m@SHFE.al.open_oi,KQ.m@SHFE.al.close_oi
2024-07-31 21:00:00.000000000,1722430800000000000,19295,19300,19250,19255,7962,206742,205121
2024-07-31 21:01:00.000000000,1722430860000000000,19255,19265,19245,19255,2686,205121,205034
2024-07-31 21:02:00.000000000,1722430920000000000,19255,19260,19245,19250,1573,205034,205127
2024-07-31 21:03:00.000000000,1722430980000000000,19250,19255,19240,19250,1589,205127,204989
2024-07-31 21:04:00.000000000,1722431040000000000,19250,19250,19235,19240,1289,204989,204881
2024-07-31 21:05:00.000000000,1722431100000000000,19240,19240,19220,19220,1492,204881,204856
2024-07-31 21:06:00.000000000,1722431160000000000,19220,19230,19215,19215,1356,204856,204851
2024-07-31 21:07:00.000000000,1722431220000000000,19215,19220,19210,19215,1220,204851,204672
2024-07-31 21:08:00.000000000,1722431280000000000,19215,19220,19205,19210,906,204672,204528
2024-07-31 21:09:00.000000000,1722431340000000000,19210,19215,19205,19215,895,204528,204475
2024-07-31 21:10:00.000000000,1722431400000000000,19215,19220,19205,19220,534,204475,204620
2024-07-31 21:11:00.000000000,1722431460000000000,19220,19225,19215,19220,887,204620,204481
2024-07-31 21:12:00.000000000,1722431520000000000,19220,19245,19220,19235,1497,204481,204187
2024-07-31 21:13:00.000000000,1722431580000000000,19235,19250,19235,19250,825,204187,204095
2024-07-31 21:14:00.000000000,1722431640000000000,19250,19270,19250,19265,1629,204095,204013
2024-07-31 21:15:00.000000000,1722431700000000000,19265,19275,19255,19260,994,204013,203975
2024-07-31 21:16:00.000000000,1722431760000000000,19260,19265,19250,19260,923,203975,203901
2024-07-31 21:17:00.000000000,1722431820000000000,19260,19270,19255,19265,608,203901,203931
2024-07-31 21:18:00.000000000,1722431880000000000,19265,19275,19260,19265,733,203931,203758
2024-07-31 21:19:00.000000000,1722431940000000000,19265,19275,19265,19265,466,203758,203681
2024-07-31 21:20:00.000000000,1722432000000000000,19265,19280,19265,19280,684,203681,203722
2024-07-31 21:21:00.000000000,1722432060000000000,19280,19280,19270,19275,505,203722,203695
2024-07-31 21:22:00.000000000,1722432120000000000,19275,19295,19270,19295,1281,203695,203716
2024-07-31 21:23:00.000000000,1722432180000000000,19295,19295,19280,19280,871,203716,203523
2024-07-31 21:24:00.000000000,1722432240000000000,19280,19285,19270,19275,655,203523,203369
2024-07-31 21:25:00.000000000,1722432300000000000,19275,19290,19270,19290,527,203369,203284
2024-07-31 21:26:00.000000000,1722432360000000000,19290,19290,19280,19285,504,203284,203331
2024-07-31 21:27:00.000000000,1722432420000000000,19285,19295,19285,19295,625,203331,203395
2024-07-31 21:28:00.000000000,1722432480000000000,19295,19325,19290,19315,2623,203395,202986
2024-07-31 21:29:00.000000000,1722432540000000000,19315,19325,19305,19325,810,202986,202815
2024-07-31 21:30:00.000000000,1722432600000000000,19325,19345,19310,19340,2266,202815,202615
2024-07-31 21:31:00.000000000,1722432660000000000,19340,19340,19325,19325,1535,202615,202702
2024-07-31 21:32:00.000000000,1722432720000000000,19325,19340,19325,19340,870,202702,202631
2024-07-31 21:33:00.000000000,1722432780000000000,19340,19350,19335,19350,1824,202631,202231
2024-07-31 21:34:00.000000000,1722432840000000000,19350,19350,19335,19340,1327,202231,202088
2024-07-31 21:35:00.000000000,1722432900000000000,19340,19355,19335,19335,1625,202088,202107
2024-07-31 21:36:00.000000000,1722432960000000000,19335,19340,19310,19335,1755,202107,201765
2024-07-31 21:37:00.000000000,1722433020000000000,19335,19345,19330,19340,628,201765,201732
2024-07-31 21:38:00.000000000,1722433080000000000,19340,19345,19335,19335,612,201732,201675
2024-07-31 21:39:00.000000000,1722433140000000000,19335,19350,19330,19345,496,201675,201663
2024-07-31 21:40:00.000000000,1722433200000000000,19345,19350,19340,19345,308,201663,201646
