datetime,datetime_nano,CZCE.TA501.open,CZCE.TA501.high,CZCE.TA501.low,CZCE.TA501.close,CZCE.TA501.volume,CZCE.TA501.open_oi,CZCE.TA501.close_oi
2024-10-08 09:00:00.000000000,1728349200000000000,5500,5500,5438,5460,76978,1028208,1029480
2024-10-08 09:01:00.000000000,1728349260000000000,5460,5478,5442,5478,30630,1029480,1030996
2024-10-08 09:02:00.000000000,1728349320000000000,5478,5478,5456,5456,18770,1030996,1031401
2024-10-08 09:03:00.000000000,1728349380000000000,5456,5456,5440,5444,18500,1031401,1028821
2024-10-08 09:04:00.000000000,1728349440000000000,5444,5450,5436,5438,17631,1028821,1025247
2024-10-08 09:05:00.000000000,1728349500000000000,5438,5446,5436,5444,11445,1025247,1025676
2024-10-08 09:06:00.000000000,1728349560000000000,5444,5446,5432,5438,12882,1025676,1024148
2024-10-08 09:07:00.000000000,1728349620000000000,5438,5440,5426,5430,13286,1024148,1021060
2024-10-08 09:08:00.000000000,1728349680000000000,5430,5436,5418,5436,12957,1021060,1019998
2024-10-08 09:09:00.000000000,1728349740000000000,5436,5448,5428,5428,11623,1019998,1018738
2024-10-08 09:10:00.000000000,1728349800000000000,5428,5428,5414,5420,9649,1018738,1016931
2024-10-08 09:11:00.000000000,1728349860000000000,5420,5424,5410,5414,11016,1016931,1017621
2024-10-08 09:12:00.000000000,1728349920000000000,5414,5418,5404,5406,9501,1017621,1018123
2024-10-08 09:13:00.000000000,1728349980000000000,5406,5408,5388,5396,16660,1018123,1017606
2024-10-08 09:14:00.000000000,1728350040000000000,5396,5412,5396,5412,10018,1017606,1015977
2024-10-08 09:15:00.000000000,1728350100000000000,5412,5412,5394,5400,9978,1015977,1014601
2024-10-08 09:16:00.000000000,1728350160000000000,5400,5408,5392,5406,9204,1014601,1012982
2024-10-08 09:17:00.000000000,1728350220000000000,5406,5408,5396,5396,7630,1012982,1012451
2024-10-08 09:18:00.000000000,1728350280000000000,5396,5418,5396,5416,8182,1012451,1011968
2024-10-08 09:19:00.000000000,1728350340000000000,5416,5436,5416,5432,13467,1011968,1013013
2024-10-08 09:20:00.000000000,1728350400000000000,5432,5440,5424,5432,8162,1013013,1013559
2024-10-08 09:21:00.000000000,1728350460000000000,5432,5438,5424,5434,8451,1013559,1012235
2024-10-08 09:22:00.000000000,1728350520000000000,5434,5442,5432,5438,5984,1012235,1011614
2024-10-08 09:23:00.000000000,1728350580000000000,5438,5448,5438,5446,7276,1011614,1010935
2024-10-08 09:24:00.000000000,1728350640000000000,5446,5448,5436,5442,7504,1010935,1010467
2024-10-08 09:25:00.000000000,1728350700000000000,5442,5458,5438,5458,12172,1010467,1010229
2024-10-08 09:26:00.000000000,1728350760000000000,5458,5458,5448,5454,6343,1010229,1009674
2024-10-08 09:27:00.000000000,1728350820000000000,5454,5456,5442,5442,4473,1009674,1009621
2024-10-08 09:28:00.000000000,1728350880000000000,5442,5448,5436,5444,5875,1009621,1009743
2024-10-08 09:29:00.000000000,1728350940000000000,5444,5448,5436,5446,3965,1009743,1008659
2024-10-08 09:30:00.000000000,1728351000000000000,5446,5450,5426,5426,7404,1008659,1007904
2024-10-08 09:31:00.000000000,1728351060000000000,5426,5432,5422,5422,4801,1007904,1007144
2024-10-08 09:32:00.000000000,1728351120000000000,5422,5424,5416,5418,5558,1007144,1007425
2024-10-08 09:33:00.000000000,1728351180000000000,5418,5422,5408,5408,4321,1007425,1007296
