datetime,datetime_nano,KQ.m@SHFE.al.open,KQ.m@SHFE.al.high,KQ.m@SHFE.al.low,KQ.m@SHFE.al.close,KQ.m@SHFE.al.volume,KQ.m@SHFE.al.open_oi,KQ.m@SHFE.al.close_oi
2024-02-29 21:00:00.000000000,1709211600000000000,18950,18965,18930,18940,4276,200351,200510
2024-02-29 21:01:00.000000000,1709211660000000000,18940,18960,18940,18945,1276,200510,200512
2024-02-29 21:02:00.000000000,1709211720000000000,18945,18960,18945,18960,1503,200512,200456
2024-02-29 21:03:00.000000000,1709211780000000000,18960,18970,18960,18965,1807,200456,200702
2024-02-29 21:04:00.000000000,1709211840000000000,18965,18980,18965,18975,1611,200702,201163
2024-02-29 21:05:00.000000000,1709211900000000000,18975,18985,18960,18965,1621,201163,201225
2024-02-29 21:06:00.000000000,1709211960000000000,18965,18985,18965,18980,1251,201225,201283
2024-02-29 21:07:00.000000000,1709212020000000000,18980,18990,18980,18980,1309,201283,201577
2024-02-29 21:08:00.000000000,1709212080000000000,18980,18995,18980,18990,1352,201577,201813
2024-02-29 21:09:00.000000000,1709212140000000000,18990,18995,18980,18990,566,201813,201854
2024-02-29 21:10:00.000000000,1709212200000000000,18990,18990,18970,18980,912,201854,201886
2024-02-29 21:11:00.000000000,1709212260000000000,18980,18980,18970,18970,742,201886,201947
2024-02-29 21:12:00.000000000,1709212320000000000,18970,18980,18970,18970,352,201947,201968
2024-02-29 21:13:00.000000000,1709212380000000000,18970,18975,18970,18970,185,201968,201950
2024-02-29 21:14:00.000000000,1709212440000000000,18970,18975,18960,18965,1038,201950,202037
2024-02-29 21:15:00.000000000,1709212500000000000,18965,18970,18965,18965,344,202037,201958
2024-02-29 21:16:00.000000000,1709212560000000000,18965,18970,18960,18960,729,201958,201908
2024-02-29 21:17:00.000000000,1709212620000000000,18960,18965,18955,18965,379,201908,201916
2024-02-29 21:18:00.000000000,1709212680000000000,18965,18965,18955,18955,401,201916,201859
2024-02-29 21:19:00.000000000,1709212740000000000,18955,18965,18955,18960,515,201859,201865
2024-02-29 21:20:00.000000000,1709212800000000000,18960,18965,18955,18960,588,201865,202083
2024-02-29 21:21:00.000000000,1709212860000000000,18960,18965,18955,18955,341,202083,202140
2024-02-29 21:22:00.000000000,1709212920000000000,18955,18965,18955,18960,395,202140,202057
2024-02-29 21:23:00.000000000,1709212980000000000,18960,18965,18955,18960,253,202057,202098
2024-02-29 21:24:00.000000000,1709213040000000000,18960,18960,18955,18960,198,202098,202121
2024-02-29 21:25:00.000000000,1709213100000000000,18960,18960,18955,18960,241,202121,202084
2024-02-29 21:26:00.000000000,1709213160000000000,18960,18960,18955,18960,127,202084,202135
2024-02-29 21:27:00.000000000,1709213220000000000,18960,18965,18955,18960,759,202135,201892
2024-02-29 21:28:00.000000000,1709213280000000000,18960,18965,18960,18965,174,201892,201881
2024-02-29 21:29:00.000000000,1709213340000000000,18965,18965,18960,18960,356,201881,202000
2024-02-29 21:30:00.000000000,1709213400000000000,18960,18970,18960,18965,523,202000,202072
2024-02-29 21:31:00.000000000,1709213460000000000,18965,18980,18965,18980,705,202072,202091
2024-02-29 21:32:00.000000000,1709213520000000000,18980,18980,18970,18970,162,202091,202180
2024-02-29 21:33:00.000000000,1709213580000000000,18970,18975,18970,18975,170,202180,202225
2024-02-29 21:34:00.000000000,1709213640000000000,18975,18980,18970,18980,247,202225,202177
2024-02-29 21:35:00.000000000,1709213700000000000,18980,18980,18975,18980,103,202177,202228
2024-02-29 21:36:00.000000000,1709213760000000000,18980,18980,18975,18980,95,202228,202258
2024-02-29 21:37:00.000000000,1709213820000000000,18980,18980,18970,18970,344,202258,202223
2024-02-29 21:38:00.000000000,1709213880000000000,18970,18980,18970,18980,228,202223,202224
2024-02-29 21:39:00.000000000,1709213940000000000,18980,18990,18980,18985,965,202224,202457
2024-02-29 21:40:00.000000000,1709214000000000000,18985,18990,18980,18985,227,202457,202493
2024-02-29 21:41:00.000000000,1709214060000000000,18985,18990,18980,18980,277,202493,202584
2024-02-29 21:42:00.000000000,1709214120000000000,18980,18985,18980,18980,115,202584,202583
2024-02-29 21:43:00.000000000,1709214180000000000,18980,18985,18980,18985,141,202583,202546
2024-02-29 21:44:00.000000000,1709214240000000000,18985,18990,18980,18980,254,202546,202559
2024-02-29 21:45:00.000000000,1709214300000000000,18980,18990,18980,18990,168,202559,202574
2024-02-29 21:46:00.000000000,1709214360000000000,18990,18990,18985,18985,75,202574,202578
2024-02-29 21:47:00.000000000,1709214420000000000,18985,18990,18985,18990,76,202578,202611
2024-02-29 21:48:00.000000000,1709214480000000000,18990,18995,18985,18995,480,202611,202713
2024-02-29 21:49:00.000000000,1709214540000000000,18995,18995,18990,18990,456,202713,202795
2024-02-29 21:50:00.000000000,1709214600000000000,18990,18995,18990,18990,107,202795,202810
2024-02-29 21:51:00.000000000,1709214660000000000,18990,18995,18985,18995,683,202810,203029
2024-02-29 21:52:00.000000000,1709214720000000000,18995,18995,18985,18990,187,203029,203030
2024-02-29 21:53:00.000000000,1709214780000000000,18990,18990,18975,18975,960,203030,202660
2024-02-29 21:54:00.000000000,1709214840000000000,18975,18980,18975,18975,622,202660,202600
2024-02-29 21:55:00.000000000,1709214900000000000,18975,18980,18975,18980,385,202600,202634
2024-02-29 21:56:00.000000000,1709214960000000000,18980,18985,18975,18985,116,202634,202562
2024-02-29 21:57:00.000000000,1709215020000000000,18985,18985,18980,18980,72,202562,202574
2024-02-29 21:58:00.000000000,1709215080000000000,18980,18990,18980,18985,283,202574,202525
2024-02-29 21:59:00.000000000,1709215140000000000,18985,18990,18980,18985,196,202525,202576
2024-02-29 22:00:00.000000000,1709215200000000000,18985,18990,18985,18985,535,202576,202605
2024-02-29 22:01:00.000000000,1709215260000000000,18985,18990,18985,18990,153,202605,202596
2024-02-29 22:02:00.000000000,1709215320000000000,18990,18990,18985,18990,108,202596,202605
2024-02-29 22:03:00.000000000,1709215380000000000,18990,18990,18985,18985,240,202605,202669
2024-02-29 22:04:00.000000000,1709215440000000000,18985,18990,18985,18985,169,202669,202684
2024-02-29 22:05:00.000000000,1709215500000000000,18985,18985,18975,18975,287,202684,202694
2024-02-29 22:06:00.000000000,1709215560000000000,18975,18980,18970,18975,439,202694,202661
2024-02-29 22:07:00.000000000,1709215620000000000,18975,18980,18975,18975,116,202661,202634
2024-02-29 22:08:00.000000000,1709215680000000000,18975,18980,18970,18975,260,202634,202614
2024-02-29 22:09:00.000000000,1709215740000000000,18975,18980,18975,18980,102,202614,202595
2024-02-29 22:10:00.000000000,1709215800000000000,18980,18980,18970,18975,204,202595,202535
2024-02-29 22:11:00.000000000,1709215860000000000,18975,18975,18970,18975,54,202535,202536
2024-02-29 22:12:00.000000000,1709215920000000000,18975,18980,18970,18975,443,202536,202473
2024-02-29 22:13:00.000000000,1709215980000000000,18975,18975,18970,18975,318,202473,202528
2024-02-29 22:14:00.000000000,1709216040000000000,18975,18975,18970,18975,239,202528,202533
2024-02-29 22:15:00.000000000,1709216100000000000,18975,18975,18970,18975,103,202533,202549
2024-02-29 22:16:00.000000000,1709216160000000000,18975,18975,18970,18975,503,202549,202617
2024-02-29 22:17:00.000000000,1709216220000000000,18975,18975,18970,18970,118,202617,202611
2024-02-29 22:18:00.000000000,1709216280000000000,18970,18975,18960,18960,314,202611,202538
2024-02-29 22:19:00.000000000,1709216340000000000,18960,18965,18960,18965,81,202538,202479
2024-02-29 22:20:00.000000000,1709216400000000000,18965,18965,18960,18960,88,202479,202412
2024-02-29 22:21:00.000000000,1709216460000000000,18960,18965,18960,18965,82,202412,202396
2024-02-29 22:22:00.000000000,1709216520000000000,18965,18965,18960,18960,36,202396,202380
2024-02-29 22:23:00.000000000,1709216580000000000,18960,18965,18960,18965,40,202380,202370
2024-02-29 22:24:00.000000000,1709216640000000000,18965,18970,18960,18965,341,202370,202315
2024-02-29 22:25:00.000000000,1709216700000000000,18965,18975,18965,18970,128,202315,202313
2024-02-29 22:26:00.000000000,1709216760000000000,18970,18975,18970,18970,166,202313,202240
2024-02-29 22:27:00.000000000,1709216820000000000,18970,18975,18970,18975,27,202240,202214
2024-02-29 22:28:00.000000000,1709216880000000000,18975,18980,18975,18980,176,202214,202213
2024-02-29 22:29:00.000000000,1709216940000000000,18980,18980,18975,18975,163,202213,202253
