datetime,datetime_nano,KQ.m@CZCE.SA.open,KQ.m@CZCE.SA.high,KQ.m@CZCE.SA.low,KQ.m@CZCE.SA.close,KQ.m@CZCE.SA.volume,KQ.m@CZCE.SA.open_oi,KQ.m@CZCE.SA.close_oi
2023-10-09 09:00:00.000000000,1696813200000000000,1726,1749,1720,1744,37205,820169,820356
2023-10-09 09:01:00.000000000,1696813260000000000,1744,1757,1744,1750,17845,820356,821217
2023-10-09 09:02:00.000000000,1696813320000000000,1750,1750,1737,1740,12027,821217,823619
2023-10-09 09:03:00.000000000,1696813380000000000,1740,1749,1739,1749,8024,823619,824743
2023-10-09 09:04:00.000000000,1696813440000000000,1749,1753,1749,1752,7217,824743,825106
2023-10-09 09:05:00.000000000,1696813500000000000,1752,1757,1751,1753,7914,825106,826272
2023-10-09 09:06:00.000000000,1696813560000000000,1753,1764,1752,1761,9976,826272,826295
2023-10-09 09:07:00.000000000,1696813620000000000,1761,1761,1755,1757,5912,826295,826384
2023-10-09 09:08:00.000000000,1696813680000000000,1757,1758,1751,1751,5113,826384,827554
2023-10-09 09:09:00.000000000,1696813740000000000,1751,1758,1750,1757,6033,827554,829185
2023-10-09 09:10:00.000000000,1696813800000000000,1757,1758,1752,1752,3954,829185,829816
2023-10-09 09:11:00.000000000,1696813860000000000,1752,1754,1750,1750,3090,829816,830400
2023-10-09 09:12:00.000000000,1696813920000000000,1750,1753,1750,1750,3210,830400,830872
2023-10-09 09:13:00.000000000,1696813980000000000,1750,1751,1746,1746,4693,830872,831388
2023-10-09 09:14:00.000000000,1696814040000000000,1746,1752,1746,1752,4722,831388,833048
2023-10-09 09:15:00.000000000,1696814100000000000,1752,1752,1749,1750,2376,833048,833671
2023-10-09 09:16:00.000000000,1696814160000000000,1750,1750,1745,1749,3577,833671,834426
2023-10-09 09:17:00.000000000,1696814220000000000,1749,1752,1749,1751,2635,834426,835383
2023-10-09 09:18:00.000000000,1696814280000000000,1751,1756,1751,1755,3103,835383,835840
2023-10-09 09:19:00.000000000,1696814340000000000,1755,1756,1752,1754,2720,835840,835580
2023-10-09 09:20:00.000000000,1696814400000000000,1754,1756,1753,1755,2423,835580,835514
2023-10-09 09:21:00.000000000,1696814460000000000,1755,1755,1751,1753,2736,835514,835520
2023-10-09 09:22:00.000000000,1696814520000000000,1753,1755,1752,1754,1866,835520,835247
2023-10-09 09:23:00.000000000,1696814580000000000,1754,1755,1752,1753,1990,835247,835090
2023-10-09 09:24:00.000000000,1696814640000000000,1753,1758,1753,1758,2625,835090,835674
2023-10-09 09:25:00.000000000,1696814700000000000,1758,1760,1757,1758,4071,835674,835826
2023-10-09 09:26:00.000000000,1696814760000000000,1758,1758,1755,1757,2407,835826,835901
2023-10-09 09:27:00.000000000,1696814820000000000,1757,1758,1756,1758,1357,835901,835953
2023-10-09 09:28:00.000000000,1696814880000000000,1758,1760,1758,1759,1833,835953,836096
2023-10-09 09:29:00.000000000,1696814940000000000,1759,1759,1757,1757,1622,836096,836333
2023-10-09 09:30:00.000000000,1696815000000000000,1757,1758,1755,1756,1512,836333,836584
2023-10-09 09:31:00.000000000,1696815060000000000,1756,1756,1751,1752,2076,836584,837008
2023-10-09 09:32:00.000000000,1696815120000000000,1752,1753,1750,1751,2081,837008,837259
2023-10-09 09:33:00.000000000,1696815180000000000,1751,1753,1750,1752,1417,837259,837897
2023-10-09 09:34:00.000000000,1696815240000000000,1752,1752,1751,1751,959,837897,838208
2023-10-09 09:35:00.000000000,1696815300000000000,1751,1752,1750,1750,1025,838208,838488
2023-10-09 09:36:00.000000000,1696815360000000000,1750,1751,1746,1749,3598,838488,839658
2023-10-09 09:37:00.000000000,1696815420000000000,1749,1751,1748,1751,1265,839658,840292
2023-10-09 09:38:00.000000000,1696815480000000000,1751,1751,1748,1750,1233,840292,840462
2023-10-09 09:39:00.000000000,1696815540000000000,1750,1755,1750,1753,1479,840462,840287
2023-10-09 09:40:00.000000000,1696815600000000000,1753,1755,1752,1754,1302,840287,840170
2023-10-09 09:41:00.000000000,1696815660000000000,1754,1756,1754,1755,1532,840170,839605
2023-10-09 09:42:00.000000000,1696815720000000000,1755,1755,1752,1753,1055,839605,839625
2023-10-09 09:43:00.000000000,1696815780000000000,1753,1753,1748,1748,998,839625,839764
2023-10-09 09:44:00.000000000,1696815840000000000,1748,1751,1748,1751,1168,839764,839723
2023-10-09 09:45:00.000000000,1696815900000000000,1751,1751,1748,1749,851,839723,839997
2023-10-09 09:46:00.000000000,1696815960000000000,1749,1749,1747,1748,1121,839997,840500
2023-10-09 09:47:00.000000000,1696816020000000000,1748,1748,1747,1747,837,840500,840917
2023-10-09 09:48:00.000000000,1696816080000000000,1747,1749,1746,1747,1727,840917,841542
2023-10-09 09:49:00.000000000,1696816140000000000,1747,1749,1746,1749,856,841542,841860
2023-10-09 09:50:00.000000000,1696816200000000000,1749,1751,1748,1751,690,841860,841957
2023-10-09 09:51:00.000000000,1696816260000000000,1751,1751,1750,1750,442,841957,842157
2023-10-09 09:52:00.000000000,1696816320000000000,1750,1751,1750,1751,460,842157,842305
2023-10-09 09:53:00.000000000,1696816380000000000,1751,1755,1750,1755,1786,842305,842286
2023-10-09 09:54:00.000000000,1696816440000000000,1755,1758,1754,1757,2948,842286,842270
2023-10-09 09:55:00.000000000,1696816500000000000,1757,1757,1755,1757,2057,842270,842249
2023-10-09 09:56:00.000000000,1696816560000000000,1757,1759,1757,1757,2911,842249,841634
2023-10-09 09:57:00.000000000,1696816620000000000,1757,1759,1756,1756,914,841634,841730
2023-10-09 09:58:00.000000000,1696816680000000000,1756,1757,1752,1753,1247,841730,841870
2023-10-09 09:59:00.000000000,1696816740000000000,1753,1753,1752,1752,844,841870,841988
2023-10-09 10:00:00.000000000,1696816800000000000,1752,1753,1752,1753,827,841988,841817
2023-10-09 10:01:00.000000000,1696816860000000000,1753,1753,1751,1752,1020,841817,841916
2023-10-09 10:02:00.000000000,1696816920000000000,1752,1752,1750,1751,610,841916,841968
2023-10-09 10:03:00.000000000,1696816980000000000,1751,1751,1750,1750,1136,841968,842072
2023-10-09 10:04:00.000000000,1696817040000000000,1750,1751,1750,1750,451,842072,842101
2023-10-09 10:05:00.000000000,1696817100000000000,1750,1752,1750,1751,903,842101,842135
2023-10-09 10:06:00.000000000,1696817160000000000,1751,1752,1750,1751,626,842135,842282
2023-10-09 10:07:00.000000000,1696817220000000000,1751,1752,1751,1751,478,842282,842409
2023-10-09 10:08:00.000000000,1696817280000000000,1751,1754,1751,1754,733,842409,842388
2023-10-09 10:09:00.000000000,1696817340000000000,1754,1757,1754,1757,1683,842388,841984
2023-10-09 10:10:00.000000000,1696817400000000000,1757,1757,1754,1756,900,841984,841848
2023-10-09 10:11:00.000000000,1696817460000000000,1756,1756,1752,1753,656,841848,842060
2023-10-09 10:12:00.000000000,1696817520000000000,1753,1756,1752,1756,773,842060,842276
2023-10-09 10:13:00.000000000,1696817580000000000,1756,1757,1755,1757,772,842276,842373
2023-10-09 10:14:00.000000000,1696817640000000000,1757,1758,1756,1758,2545,842373,841865
2023-10-09 10:30:00.000000000,1696818600000000000,1757,1759,1752,1752,2015,841865,841905
2023-10-09 10:31:00.000000000,1696818660000000000,1752,1756,1752,1755,1028,841905,841961
2023-10-09 10:32:00.000000000,1696818720000000000,1755,1755,1753,1754,609,841961,842092
2023-10-09 10:33:00.000000000,1696818780000000000,1754,1754,1753,1753,687,842092,842090
2023-10-09 10:34:00.000000000,1696818840000000000,1753,1755,1752,1753,598,842090,841957
2023-10-09 10:35:00.000000000,1696818900000000000,1753,1754,1752,1752,965,841957,841930
2023-10-09 10:36:00.000000000,1696818960000000000,1752,1753,1751,1752,870,841930,842062
2023-10-09 10:37:00.000000000,1696819020000000000,1752,1754,1751,1754,730,842062,841838
2023-10-09 10:38:00.000000000,1696819080000000000,1754,1754,1752,1753,518,841838,841738
2023-10-09 10:39:00.000000000,1696819140000000000,1753,1754,1752,1752,325,841738,841834
2023-10-09 10:40:00.000000000,1696819200000000000,1752,1753,1751,1752,892,841834,842006
2023-10-09 10:41:00.000000000,1696819260000000000,1752,1753,1751,1751,389,842006,842061
2023-10-09 10:42:00.000000000,1696819320000000000,1751,1752,1750,1751,768,842061,842304
2023-10-09 10:43:00.000000000,1696819380000000000,1751,1753,1750,1753,831,842304,842460
2023-10-09 10:44:00.000000000,1696819440000000000,1753,1753,1752,1752,293,842460,842567
2023-10-09 10:45:00.000000000,1696819500000000000,1752,1757,1752,1756,1316,842567,842549
2023-10-09 10:46:00.000000000,1696819560000000000,1756,1756,1752,1753,640,842549,842735
2023-10-09 10:47:00.000000000,1696819620000000000,1753,1753,1752,1752,389,842735,842754
2023-10-09 10:48:00.000000000,1696819680000000000,1752,1753,1752,1753,309,842754,842827
2023-10-09 10:49:00.000000000,1696819740000000000,1753,1757,1752,1755,1150,842827,842550
2023-10-09 10:50:00.000000000,1696819800000000000,1755,1756,1755,1756,501,842550,842536
2023-10-09 10:51:00.000000000,1696819860000000000,1756,1756,1752,1752,761,842536,842468
2023-10-09 10:52:00.000000000,1696819920000000000,1752,1754,1752,1753,454,842468,842456
2023-10-09 10:53:00.000000000,1696819980000000000,1753,1753,1752,1752,497,842456,842308
2023-10-09 10:54:00.000000000,1696820040000000000,1752,1753,1751,1752,721,842308,842372
2023-10-09 10:55:00.000000000,1696820100000000000,1752,1753,1751,1752,546,842372,842539
2023-10-09 10:56:00.000000000,1696820160000000000,1752,1753,1752,1752,412,842539,842603
2023-10-09 10:57:00.000000000,1696820220000000000,1752,1755,1752,1755,483,842603,842504
2023-10-09 10:58:00.000000000,1696820280000000000,1755,1755,1754,1754,441,842504,842609
2023-10-09 10:59:00.000000000,1696820340000000000,1754,1755,1751,1752,810,842609,842572
2023-10-09 11:00:00.000000000,1696820400000000000,1752,1753,1751,1751,1151,842572,842676
2023-10-09 11:01:00.000000000,1696820460000000000,1751,1754,1750,1753,857,842676,842616
2023-10-09 11:02:00.000000000,1696820520000000000,1753,1754,1746,1747,4066,842616,842955
2023-10-09 11:03:00.000000000,1696820580000000000,1747,1748,1743,1745,4461,842955,843198
2023-10-09 11:04:00.000000000,1696820640000000000,1745,1747,1745,1745,2176,843198,843522
2023-10-09 11:05:00.000000000,1696820700000000000,1745,1748,1745,1747,985,843522,843719
2023-10-09 11:06:00.000000000,1696820760000000000,1747,1748,1747,1747,494,843719,843847
2023-10-09 11:07:00.000000000,1696820820000000000,1747,1747,1744,1744,1321,843847,844235
2023-10-09 11:08:00.000000000,1696820880000000000,1744,1746,1744,1746,1003,844235,844542
2023-10-09 11:09:00.000000000,1696820940000000000,1746,1747,1744,1745,565,844542,844830
2023-10-09 11:10:00.000000000,1696821000000000000,1745,1746,1743,1743,1549,844830,844960
2023-10-09 11:11:00.000000000,1696821060000000000,1743,1744,1741,1742,2803,844960,844677
2023-10-09 11:12:00.000000000,1696821120000000000,1742,1745,1742,1744,1645,844677,845133
2023-10-09 11:13:00.000000000,1696821180000000000,1744,1745,1744,1745,647,845133,845374
2023-10-09 11:14:00.000000000,1696821240000000000,1745,1745,1743,1744,600,845374,845609
2023-10-09 11:15:00.000000000,1696821300000000000,1744,1745,1743,1744,680,845609,845753
2023-10-09 11:16:00.000000000,1696821360000000000,1744,1747,1744,1746,968,845753,845686
2023-10-09 11:17:00.000000000,1696821420000000000,1746,1747,1745,1747,481,845686,845852
2023-10-09 11:18:00.000000000,1696821480000000000,1747,1748,1746,1747,770,845852,845743
2023-10-09 11:19:00.000000000,1696821540000000000,1747,1747,1745,1745,540,845743,845914
2023-10-09 11:20:00.000000000,1696821600000000000,1745,1745,1744,1744,666,845914,846034
2023-10-09 11:21:00.000000000,1696821660000000000,1744,1747,1744,1747,475,846034,846159
2023-10-09 11:22:00.000000000,1696821720000000000,1747,1749,1746,1748,1429,846159,846167
2023-10-09 11:23:00.000000000,1696821780000000000,1748,1749,1746,1748,613,846167,846119
2023-10-09 11:24:00.000000000,1696821840000000000,1748,1748,1746,1747,544,846119,846305
2023-10-09 11:25:00.000000000,1696821900000000000,1747,1748,1746,1747,323,846305,846336
2023-10-09 11:26:00.000000000,1696821960000000000,1747,1747,1745,1745,556,846336,846269
2023-10-09 11:27:00.000000000,1696822020000000000,1745,1745,1743,1743,687,846269,846155
2023-10-09 11:28:00.000000000,1696822080000000000,1743,1749,1743,1747,1094,846155,845916
2023-10-09 11:29:00.000000000,1696822140000000000,1747,1748,1745,1747,928,845916,845705
2023-10-09 13:30:00.000000000,1696829400000000000,1747,1748,1746,1748,1361,845705,845860
2023-10-09 13:31:00.000000000,1696829460000000000,1748,1748,1746,1747,847,845860,845983
2023-10-09 13:32:00.000000000,1696829520000000000,1747,1749,1747,1748,937,845983,846128
2023-10-09 13:33:00.000000000,1696829580000000000,1748,1749,1745,1746,1302,846128,846529
2023-10-09 13:34:00.000000000,1696829640000000000,1746,1746,1743,1745,1054,846529,846661
2023-10-09 13:35:00.000000000,1696829700000000000,1745,1745,1742,1743,1488,846661,847419
2023-10-09 13:36:00.000000000,1696829760000000000,1743,1745,1742,1742,1958,847419,847871
2023-10-09 13:37:00.000000000,1696829820000000000,1742,1745,1742,1745,780,847871,848134
2023-10-09 13:38:00.000000000,1696829880000000000,1745,1745,1741,1741,1220,848134,848544
2023-10-09 13:39:00.000000000,1696829940000000000,1741,1744,1741,1742,1272,848544,848771
2023-10-09 13:40:00.000000000,1696830000000000000,1742,1745,1742,1744,879,848771,849281
2023-10-09 13:41:00.000000000,1696830060000000000,1744,1745,1743,1743,493,849281,849529
2023-10-09 13:42:00.000000000,1696830120000000000,1743,1745,1743,1744,354,849529,849625
2023-10-09 13:43:00.000000000,1696830180000000000,1744,1745,1744,1744,417,849625,849837
2023-10-09 13:44:00.000000000,1696830240000000000,1744,1745,1742,1742,1067,849837,850044
2023-10-09 13:45:00.000000000,1696830300000000000,1742,1743,1738,1739,5217,850044,850410
2023-10-09 13:46:00.000000000,1696830360000000000,1739,1740,1734,1735,4766,850410,851106
2023-10-09 13:47:00.000000000,1696830420000000000,1735,1735,1730,1732,5056,851106,851546
2023-10-09 13:48:00.000000000,1696830480000000000,1732,1735,1731,1734,3510,851546,852168
2023-10-09 13:49:00.000000000,1696830540000000000,1734,1734,1732,1733,1746,852168,852732
2023-10-09 13:50:00.000000000,1696830600000000000,1733,1735,1732,1734,1192,852732,853104
2023-10-09 13:51:00.000000000,1696830660000000000,1734,1734,1732,1733,1444,853104,853485
2023-10-09 13:52:00.000000000,1696830720000000000,1733,1733,1728,1729,5687,853485,855779
2023-10-09 13:53:00.000000000,1696830780000000000,1729,1732,1729,1732,3191,855779,856902
2023-10-09 13:54:00.000000000,1696830840000000000,1732,1732,1729,1730,1386,856902,856900
2023-10-09 13:55:00.000000000,1696830900000000000,1730,1731,1729,1729,1483,856900,857163
2023-10-09 13:56:00.000000000,1696830960000000000,1729,1731,1728,1729,1926,857163,857940
2023-10-09 13:57:00.000000000,1696831020000000000,1729,1732,1728,1731,2013,857940,858219
2023-10-09 13:58:00.000000000,1696831080000000000,1731,1734,1730,1734,1392,858219,858352
2023-10-09 13:59:00.000000000,1696831140000000000,1734,1735,1729,1729,2400,858352,858645
2023-10-09 14:00:00.000000000,1696831200000000000,1729,1731,1728,1731,1311,858645,859051
2023-10-09 14:01:00.000000000,1696831260000000000,1731,1732,1729,1729,735,859051,859151
2023-10-09 14:02:00.000000000,1696831320000000000,1729,1730,1726,1728,3088,859151,859160
2023-10-09 14:03:00.000000000,1696831380000000000,1728,1730,1727,1729,1235,859160,859267
2023-10-09 14:04:00.000000000,1696831440000000000,1729,1730,1729,1730,1093,859267,859499
2023-10-09 14:05:00.000000000,1696831500000000000,1730,1733,1729,1731,2032,859499,859644
2023-10-09 14:06:00.000000000,1696831560000000000,1731,1733,1731,1732,787,859644,859839
2023-10-09 14:07:00.000000000,1696831620000000000,1732,1733,1731,1733,820,859839,859907
2023-10-09 14:08:00.000000000,1696831680000000000,1733,1733,1731,1731,1110,859907,860000
2023-10-09 14:09:00.000000000,1696831740000000000,1731,1732,1730,1732,706,860000,860239
2023-10-09 14:10:00.000000000,1696831800000000000,1732,1736,1731,1736,2009,860239,859997
2023-10-09 14:11:00.000000000,1696831860000000000,1736,1738,1735,1736,2719,859997,859957
2023-10-09 14:12:00.000000000,1696831920000000000,1736,1739,1736,1737,1826,859957,860113
2023-10-09 14:13:00.000000000,1696831980000000000,1737,1739,1736,1736,1013,860113,860331
2023-10-09 14:14:00.000000000,1696832040000000000,1736,1736,1735,1735,582,860331,860399
2023-10-09 14:15:00.000000000,1696832100000000000,1735,1739,1735,1738,1139,860399,860645
2023-10-09 14:16:00.000000000,1696832160000000000,1738,1739,1736,1736,978,860645,860559
2023-10-09 14:17:00.000000000,1696832220000000000,1736,1738,1736,1736,533,860559,860679
2023-10-09 14:18:00.000000000,1696832280000000000,1736,1738,1736,1737,468,860679,860863
2023-10-09 14:19:00.000000000,1696832340000000000,1737,1737,1734,1735,916,860863,861049
2023-10-09 14:20:00.000000000,1696832400000000000,1735,1738,1735,1736,1407,861049,861686
2023-10-09 14:21:00.000000000,1696832460000000000,1736,1737,1735,1736,1458,861686,861493
2023-10-09 14:22:00.000000000,1696832520000000000,1736,1737,1734,1735,1064,861493,861764
2023-10-09 14:23:00.000000000,1696832580000000000,1735,1735,1732,1732,1421,861764,861811
2023-10-09 14:24:00.000000000,1696832640000000000,1732,1733,1730,1732,2698,861811,861662
2023-10-09 14:25:00.000000000,1696832700000000000,1732,1732,1730,1731,1177,861662,861825
2023-10-09 14:26:00.000000000,1696832760000000000,1731,1733,1731,1732,1158,861825,862449
2023-10-09 14:27:00.000000000,1696832820000000000,1732,1734,1732,1734,569,862449,862642
2023-10-09 14:28:00.000000000,1696832880000000000,1734,1734,1732,1733,355,862642,862661
2023-10-09 14:29:00.000000000,1696832940000000000,1733,1734,1733,1733,457,862661,862731
2023-10-09 14:30:00.000000000,1696833000000000000,1733,1733,1730,1732,1104,862731,862849
2023-10-09 14:31:00.000000000,1696833060000000000,1732,1733,1731,1733,353,862849,862927
2023-10-09 14:32:00.000000000,1696833120000000000,1733,1738,1732,1737,2065,862927,862965
2023-10-09 14:33:00.000000000,1696833180000000000,1737,1738,1735,1735,1022,862965,862879
2023-10-09 14:34:00.000000000,1696833240000000000,1735,1736,1735,1736,393,862879,863030
2023-10-09 14:35:00.000000000,1696833300000000000,1736,1736,1735,1735,354,863030,863091
2023-10-09 14:36:00.000000000,1696833360000000000,1735,1738,1735,1736,1912,863091,863020
2023-10-09 14:37:00.000000000,1696833420000000000,1736,1737,1736,1737,378,863020,863157
2023-10-09 14:38:00.000000000,1696833480000000000,1737,1737,1735,1736,675,863157,863218
2023-10-09 14:39:00.000000000,1696833540000000000,1736,1737,1735,1736,398,863218,863141
2023-10-09 14:40:00.000000000,1696833600000000000,1736,1736,1732,1733,1000,863141,862927
2023-10-09 14:41:00.000000000,1696833660000000000,1733,1735,1733,1734,449,862927,862833
2023-10-09 14:42:00.000000000,1696833720000000000,1734,1735,1732,1733,643,862833,862677
2023-10-09 14:43:00.000000000,1696833780000000000,1733,1734,1732,1733,651,862677,862570
2023-10-09 14:44:00.000000000,1696833840000000000,1733,1734,1732,1732,623,862570,862319
2023-10-09 14:45:00.000000000,1696833900000000000,1732,1736,1732,1736,1308,862319,862229
2023-10-09 14:46:00.000000000,1696833960000000000,1736,1736,1735,1736,924,862229,861975
