datetime,datetime_nano,KQ.m@SHFE.al.open,KQ.m@SHFE.al.high,KQ.m@SHFE.al.low,KQ.m@SHFE.al.close,KQ.m@SHFE.al.volume,KQ.m@SHFE.al.open_oi,KQ.m@SHFE.al.close_oi
2023-03-31 21:00:00.000000000,1680267600000000000,18730,18730,18665,18680,4149,219903,219906
2023-03-31 21:01:00.000000000,1680267660000000000,18680,18680,18665,18675,1552,219906,219758
2023-03-31 21:02:00.000000000,1680267720000000000,18675,18680,18645,18650,2064,219758,219612
2023-03-31 21:03:00.000000000,1680267780000000000,18650,18680,18650,18675,987,219612,219650
2023-03-31 21:04:00.000000000,1680267840000000000,18675,18675,18665,18670,810,219650,219432
2023-03-31 21:05:00.000000000,1680267900000000000,18670,18685,18665,18680,860,219432,219370
2023-03-31 21:06:00.000000000,1680267960000000000,18680,18695,18680,18685,1251,219370,219272
2023-03-31 21:07:00.000000000,1680268020000000000,18685,18690,18665,18680,811,219272,219130
2023-03-31 21:08:00.000000000,1680268080000000000,18680,18680,18670,18670,137,219130,219111
2023-03-31 21:09:00.000000000,1680268140000000000,18670,18675,18670,18670,318,219111,219024
2023-03-31 21:10:00.000000000,1680268200000000000,18670,18680,18670,18680,242,219024,219050
2023-03-31 21:11:00.000000000,1680268260000000000,18680,18685,18675,18685,165,219050,219087
2023-03-31 21:12:00.000000000,1680268320000000000,18685,18695,18680,18685,433,219087,219016
2023-03-31 21:13:00.000000000,1680268380000000000,18685,18690,18685,18690,142,219016,219001
2023-03-31 21:14:00.000000000,1680268440000000000,18690,18690,18685,18690,49,219001,218999
2023-03-31 21:15:00.000000000,1680268500000000000,18690,18690,18680,18680,129,218999,219014
2023-03-31 21:16:00.000000000,1680268560000000000,18680,18680,18670,18675,258,219014,219007
2023-03-31 21:17:00.000000000,1680268620000000000,18675,18675,18670,18675,109,219007,219048
2023-03-31 21:18:00.000000000,1680268680000000000,18675,18675,18665,18665,233,219048,219112
2023-03-31 21:19:00.000000000,1680268740000000000,18665,18665,18660,18665,524,219112,219214
2023-03-31 21:20:00.000000000,1680268800000000000,18665,18670,18660,18665,339,219214,219176
2023-03-31 21:21:00.000000000,1680268860000000000,18665,18675,18665,18670,319,219176,219129
2023-03-31 21:22:00.000000000,1680268920000000000,18670,18670,18665,18665,142,219129,219131
2023-03-31 21:23:00.000000000,1680268980000000000,18665,18670,18665,18665,126,219131,219212
2023-03-31 21:24:00.000000000,1680269040000000000,18665,18675,18665,18675,141,219212,219220
2023-03-31 21:25:00.000000000,1680269100000000000,18675,18675,18665,18670,185,219220,219247
2023-03-31 21:26:00.000000000,1680269160000000000,18670,18680,18670,18675,236,219247,219181
2023-03-31 21:27:00.000000000,1680269220000000000,18675,18685,18675,18685,194,219181,219180
2023-03-31 21:28:00.000000000,1680269280000000000,18685,18690,18680,18690,281,219180,219125
2023-03-31 21:29:00.000000000,1680269340000000000,18690,18690,18675,18675,399,219125,219150
2023-03-31 21:30:00.000000000,1680269400000000000,18675,18685,18675,18685,114,219150,219131
2023-03-31 21:31:00.000000000,1680269460000000000,18685,18690,18680,18685,336,219131,219187
2023-03-31 21:32:00.000000000,1680269520000000000,18685,18690,18685,18685,9,219187,219190
2023-03-31 21:33:00.000000000,1680269580000000000,18685,18700,18685,18695,501,219190,219023
2023-03-31 21:34:00.000000000,1680269640000000000,18695,18695,18690,18695,160,219023,219057
2023-03-31 21:35:00.000000000,1680269700000000000,18695,18700,18695,18695,109,219057,219073
2023-03-31 21:36:00.000000000,1680269760000000000,18695,18700,18690,18695,199,219073,219166
2023-03-31 21:37:00.000000000,1680269820000000000,18695,18710,18695,18705,388,219166,219061
2023-03-31 21:38:00.000000000,1680269880000000000,18705,18715,18700,18715,474,219061,219043
2023-03-31 21:39:00.000000000,1680269940000000000,18715,18715,18710,18715,415,219043,218906
2023-03-31 21:40:00.000000000,1680270000000000000,18715,18715,18710,18710,117,218906,218887
2023-03-31 21:41:00.000000000,1680270060000000000,18710,18710,18705,18710,426,218887,218844
2023-03-31 21:42:00.000000000,1680270120000000000,18710,18710,18700,18705,194,218844,218823
2023-03-31 21:43:00.000000000,1680270180000000000,18705,18705,18700,18705,85,218823,218814
2023-03-31 21:44:00.000000000,1680270240000000000,18705,18705,18700,18700,31,218814,218830
2023-03-31 21:45:00.000000000,1680270300000000000,18700,18705,18695,18695,557,218830,219024
2023-03-31 21:46:00.000000000,1680270360000000000,18695,18705,18695,18700,250,219024,219011
2023-03-31 21:47:00.000000000,1680270420000000000,18700,18705,18700,18705,132,219011,219010
2023-03-31 21:48:00.000000000,1680270480000000000,18705,18705,18690,18695,198,219010,218994
2023-03-31 21:49:00.000000000,1680270540000000000,18695,18695,18690,18690,35,218994,218995
2023-03-31 21:50:00.000000000,1680270600000000000,18690,18695,18690,18695,87,218995,219007
