datetime,datetime_nano,KQ.m@DCE.i.open,KQ.m@DCE.i.high,KQ.m@DCE.i.low,KQ.m@DCE.i.close,KQ.m@DCE.i.volume,KQ.m@DCE.i.open_oi,KQ.m@DCE.i.close_oi
2023-03-31 21:00:00.000000000,1680267600000000000,908.0,908.0,905.5,906.0,9362,532508,530764
2023-03-31 21:01:00.000000000,1680267660000000000,906.0,906.0,903.5,905.0,6237,530764,530808
2023-03-31 21:02:00.000000000,1680267720000000000,905.0,905.5,904.0,905.0,2296,530808,530708
2023-03-31 21:03:00.000000000,1680267780000000000,905.0,907.0,904.0,907.0,3907,530708,530613
2023-03-31 21:04:00.000000000,1680267840000000000,907.0,907.0,905.5,906.5,2619,530613,530519
2023-03-31 21:05:00.000000000,1680267900000000000,906.5,906.5,905.5,905.5,1330,530519,530559
2023-03-31 21:06:00.000000000,1680267960000000000,905.5,907.0,905.5,906.0,1872,530559,530583
2023-03-31 21:07:00.000000000,1680268020000000000,906.0,907.0,905.0,907.0,1169,530583,530661
2023-03-31 21:08:00.000000000,1680268080000000000,907.0,907.0,906.5,906.5,551,530661,530717
2023-03-31 21:09:00.000000000,1680268140000000000,906.5,908.0,906.5,907.5,2255,530717,530599
2023-03-31 21:10:00.000000000,1680268200000000000,907.5,907.5,906.5,906.5,1706,530599,530408
2023-03-31 21:11:00.000000000,1680268260000000000,906.5,908.0,906.5,908.0,789,530408,530663
2023-03-31 21:12:00.000000000,1680268320000000000,908.0,908.5,907.5,907.5,1629,530663,530857
2023-03-31 21:13:00.000000000,1680268380000000000,907.5,908.5,906.5,908.0,1759,530857,530766
2023-03-31 21:14:00.000000000,1680268440000000000,908.0,908.5,907.5,908.5,1316,530766,530673
2023-03-31 21:15:00.000000000,1680268500000000000,908.5,908.5,907.0,907.0,918,530673,530578
2023-03-31 21:16:00.000000000,1680268560000000000,907.0,907.5,906.0,906.0,928,530578,530494
2023-03-31 21:17:00.000000000,1680268620000000000,906.0,906.5,905.5,906.0,911,530494,530548
2023-03-31 21:18:00.000000000,1680268680000000000,906.0,906.5,906.0,906.0,580,530548,530608
2023-03-31 21:19:00.000000000,1680268740000000000,906.0,906.5,905.5,905.5,831,530608,530505
2023-03-31 21:20:00.000000000,1680268800000000000,905.5,905.5,905.0,905.0,1240,530505,530241
2023-03-31 21:21:00.000000000,1680268860000000000,905.0,906.5,905.0,906.0,1353,530241,530021
2023-03-31 21:22:00.000000000,1680268920000000000,906.0,906.0,905.0,905.5,1049,530021,529854
2023-03-31 21:23:00.000000000,1680268980000000000,905.5,905.5,905.0,905.0,832,529854,529856
2023-03-31 21:24:00.000000000,1680269040000000000,905.0,906.0,905.0,905.5,940,529856,530252
2023-03-31 21:25:00.000000000,1680269100000000000,905.5,907.0,905.5,906.5,1463,530252,530457
2023-03-31 21:26:00.000000000,1680269160000000000,906.5,908.0,906.5,908.0,2375,530457,530823
2023-03-31 21:27:00.000000000,1680269220000000000,908.0,908.0,907.0,907.0,588,530823,530731
2023-03-31 21:28:00.000000000,1680269280000000000,907.0,907.5,907.0,907.5,707,530731,530591
2023-03-31 21:29:00.000000000,1680269340000000000,907.5,907.5,907.0,907.0,1080,530591,530778
2023-03-31 21:30:00.000000000,1680269400000000000,907.0,908.0,907.0,907.5,660,530778,530714
2023-03-31 21:31:00.000000000,1680269460000000000,907.5,908.5,907.5,907.5,1211,530714,530367
2023-03-31 21:32:00.000000000,1680269520000000000,907.5,908.5,907.5,908.0,763,530367,530379
2023-03-31 21:33:00.000000000,1680269580000000000,908.0,909.0,908.0,908.5,1942,530379,530531
2023-03-31 21:34:00.000000000,1680269640000000000,908.5,909.0,908.5,909.0,1560,530531,530639
2023-03-31 21:35:00.000000000,1680269700000000000,909.0,911.5,909.0,911.0,5708,530639,529849
2023-03-31 21:36:00.000000000,1680269760000000000,911.0,911.0,910.0,910.0,1411,529849,530008
2023-03-31 21:37:00.000000000,1680269820000000000,910.0,910.5,910.0,910.0,263,530008,530030
2023-03-31 21:38:00.000000000,1680269880000000000,910.0,910.5,909.5,909.5,682,530030,530172
2023-03-31 21:39:00.000000000,1680269940000000000,909.5,910.0,909.0,910.0,1091,530172,530045
2023-03-31 21:40:00.000000000,1680270000000000000,910.0,910.5,909.5,910.0,836,530045,530014
2023-03-31 21:41:00.000000000,1680270060000000000,910.0,910.5,910.0,910.0,477,530014,530166
2023-03-31 21:42:00.000000000,1680270120000000000,910.0,911.0,910.0,911.0,958,530166,530061
