datetime,datetime_nano,KQ.m@SHFE.cu.open,KQ.m@SHFE.cu.high,KQ.m@SHFE.cu.low,KQ.m@SHFE.cu.close,KQ.m@SHFE.cu.volume,KQ.m@SHFE.cu.open_oi,KQ.m@SHFE.cu.close_oi
2026-05-06 09:00:00.000000000,1778029200000000000,101790,102140,101730,102040,3344,190887,191219
2026-05-06 09:01:00.000000000,1778029260000000000,102040,102240,102020,102160,1713,191219,191307
2026-05-06 09:02:00.000000000,1778029320000000000,102160,102160,101990,102040,977,191307,191260
2026-05-06 09:03:00.000000000,1778029380000000000,102040,102090,101950,102010,834,191260,191193
2026-05-06 09:04:00.000000000,1778029440000000000,102010,102040,101900,101950,831,191193,191043
2026-05-06 09:05:00.000000000,1778029500000000000,101950,102040,101920,102000,818,191043,191038
2026-05-06 09:06:00.000000000,1778029560000000000,102000,102050,101990,102030,628,191038,191192
2026-05-06 09:07:00.000000000,1778029620000000000,102030,102080,101980,102010,448,191192,191246
2026-05-06 09:08:00.000000000,1778029680000000000,102010,102050,101990,102020,313,191246,191289
2026-05-06 09:09:00.000000000,1778029740000000000,102020,102070,102020,102050,275,191289,191328
2026-05-06 09:10:00.000000000,1778029800000000000,102050,102070,101980,101980,364,191328,191318
2026-05-06 09:11:00.000000000,1778029860000000000,101980,102010,101970,102000,397,191318,191232
2026-05-06 09:12:00.000000000,1778029920000000000,102000,102050,102000,102020,386,191232,191225
2026-05-06 09:13:00.000000000,1778029980000000000,102020,102020,101970,102000,205,191225,191230
2026-05-06 09:14:00.000000000,1778030040000000000,102000,102070,102000,102070,258,191230,191262
2026-05-06 09:15:00.000000000,1778030100000000000,102070,102090,102040,102080,504,191262,191368
2026-05-06 09:16:00.000000000,1778030160000000000,102080,102160,102080,102160,688,191368,191585
2026-05-06 09:17:00.000000000,1778030220000000000,102160,102250,102160,102220,696,191585,191745
2026-05-06 09:18:00.000000000,1778030280000000000,102220,102220,102160,102200,574,191745,191919
2026-05-06 09:19:00.000000000,1778030340000000000,102200,102230,102170,102170,205,191919,191969
2026-05-06 09:20:00.000000000,1778030400000000000,102170,102200,102120,102190,426,191969,191977
2026-05-06 09:21:00.000000000,1778030460000000000,102190,102250,102190,102190,671,191977,191960
2026-05-06 09:22:00.000000000,1778030520000000000,102190,102260,102160,102240,407,191960,191981
2026-05-06 09:23:00.000000000,1778030580000000000,102240,102270,102220,102230,251,191981,192041
2026-05-06 09:24:00.000000000,1778030640000000000,102230,102280,102230,102260,377,192041,192068
2026-05-06 09:25:00.000000000,1778030700000000000,102260,102280,102220,102250,297,192068,192172
2026-05-06 09:26:00.000000000,1778030760000000000,102250,102270,102220,102230,131,192172,192180
2026-05-06 09:27:00.000000000,1778030820000000000,102230,102250,102220,102220,254,192180,192224
2026-05-06 09:28:00.000000000,1778030880000000000,102220,102260,102210,102250,187,192224,192256
2026-05-06 09:29:00.000000000,1778030940000000000,102250,102260,102210,102240,197,192256,192344
2026-05-06 09:30:00.000000000,1778031000000000000,102240,102260,102130,102140,491,192344,192301
2026-05-06 09:31:00.000000000,1778031060000000000,102140,102230,102140,102220,241,192301,192298
2026-05-06 09:32:00.000000000,1778031120000000000,102220,102240,102210,102240,149,192298,192343
2026-05-06 09:33:00.000000000,1778031180000000000,102240,102300,102240,102260,369,192343,192402
2026-05-06 09:34:00.000000000,1778031240000000000,102260,102270,102230,102260,135,192402,192451
2026-05-06 09:35:00.000000000,1778031300000000000,102260,102310,102260,102280,296,192451,192499
2026-05-06 09:36:00.000000000,1778031360000000000,102280,102300,102230,102280,290,192499,192581
2026-05-06 09:37:00.000000000,1778031420000000000,102280,102330,102280,102310,360,192581,192715
2026-05-06 09:38:00.000000000,1778031480000000000,102310,102340,102300,102330,260,192715,192771
2026-05-06 09:39:00.000000000,1778031540000000000,102330,102420,102330,102400,500,192771,192881
2026-05-06 09:40:00.000000000,1778031600000000000,102400,102430,102350,102390,379,192881,192898
2026-05-06 09:41:00.000000000,1778031660000000000,102390,102450,102390,102400,439,192898,193010
2026-05-06 09:42:00.000000000,1778031720000000000,102400,102420,102380,102420,356,193010,193171
2026-05-06 09:43:00.000000000,1778031780000000000,102420,102420,102380,102420,192,193171,193215
2026-05-06 09:44:00.000000000,1778031840000000000,102420,102430,102400,102400,162,193215,193230
2026-05-06 09:45:00.000000000,1778031900000000000,102400,102420,102380,102380,183,193230,193296
