datetime,datetime_nano,KQ.m@DCE.i.open,KQ.m@DCE.i.high,KQ.m@DCE.i.low,KQ.m@DCE.i.close,KQ.m@DCE.i.volume,KQ.m@DCE.i.open_oi,KQ.m@DCE.i.close_oi
2021-07-30 21:00:00.000000000,1627650000000000000,1034.0,1038.5,1031.0,1038.0,9980,348432,343307
2021-07-30 21:01:00.000000000,1627650060000000000,1038.0,1043.0,1038.0,1041.0,6832,343307,340408
2021-07-30 21:02:00.000000000,1627650120000000000,1041.0,1043.0,1039.5,1041.5,4415,340408,338165
2021-07-30 21:03:00.000000000,1627650180000000000,1041.5,1043.0,1040.0,1041.0,3431,338165,336472
2021-07-30 21:04:00.000000000,1627650240000000000,1041.0,1046.0,1040.0,1044.5,4133,336472,335050
2021-07-30 21:05:00.000000000,1627650300000000000,1044.5,1046.0,1042.0,1043.5,4286,335050,333969
2021-07-30 21:06:00.000000000,1627650360000000000,1043.5,1045.5,1042.0,1043.0,2278,333969,333167
2021-07-30 21:07:00.000000000,1627650420000000000,1043.0,1044.0,1041.0,1043.0,1781,333167,332383
2021-07-30 21:08:00.000000000,1627650480000000000,1043.0,1043.5,1039.5,1039.5,2058,332383,331133
2021-07-30 21:09:00.000000000,1627650540000000000,1039.5,1040.5,1037.0,1039.0,2916,331133,329974
2021-07-30 21:10:00.000000000,1627650600000000000,1039.0,1041.0,1037.5,1041.0,2477,329974,329293
2021-07-30 21:11:00.000000000,1627650660000000000,1041.0,1043.0,1040.5,1041.0,2231,329293,327943
2021-07-30 21:12:00.000000000,1627650720000000000,1041.0,1043.0,1040.5,1042.0,1569,327943,327395
2021-07-30 21:13:00.000000000,1627650780000000000,1042.0,1045.5,1041.5,1044.5,2448,327395,326295
2021-07-30 21:14:00.000000000,1627650840000000000,1044.5,1048.5,1044.5,1047.5,3603,326295,324515
2021-07-30 21:15:00.000000000,1627650900000000000,1047.5,1049.0,1046.5,1049.0,1995,324515,323775
2021-07-30 21:16:00.000000000,1627650960000000000,1049.0,1051.0,1048.0,1051.0,3532,323775,322726
2021-07-30 21:17:00.000000000,1627651020000000000,1051.0,1054.5,1050.0,1053.0,4318,322726,321699
2021-07-30 21:18:00.000000000,1627651080000000000,1053.0,1055.0,1053.0,1054.0,3680,321699,321579
2021-07-30 21:19:00.000000000,1627651140000000000,1054.0,1054.0,1050.5,1052.0,2906,321579,320928
2021-07-30 21:20:00.000000000,1627651200000000000,1052.0,1053.5,1050.5,1050.5,1916,320928,320398
2021-07-30 21:21:00.000000000,1627651260000000000,1050.5,1053.5,1050.0,1051.0,1701,320398,320110
2021-07-30 21:22:00.000000000,1627651320000000000,1051.0,1051.5,1048.5,1050.5,2333,320110,319379
2021-07-30 21:23:00.000000000,1627651380000000000,1050.5,1053.0,1050.5,1051.5,1745,319379,319100
2021-07-30 21:24:00.000000000,1627651440000000000,1051.5,1052.0,1050.0,1051.0,1692,319100,318724
2021-07-30 21:25:00.000000000,1627651500000000000,1051.0,1052.5,1048.5,1049.0,1815,318724,318025
2021-07-30 21:26:00.000000000,1627651560000000000,1049.0,1050.5,1048.5,1050.0,851,318025,317723
2021-07-30 21:27:00.000000000,1627651620000000000,1050.0,1050.5,1047.0,1047.0,903,317723,317469
2021-07-30 21:28:00.000000000,1627651680000000000,1047.0,1048.0,1046.5,1047.0,1194,317469,317306
2021-07-30 21:29:00.000000000,1627651740000000000,1047.0,1048.0,1043.5,1044.0,1894,317306,316704
2021-07-30 21:30:00.000000000,1627651800000000000,1044.0,1046.5,1044.0,1045.0,1456,316704,316397
2021-07-30 21:31:00.000000000,1627651860000000000,1045.0,1046.5,1043.5,1044.0,1115,316397,316247
2021-07-30 21:32:00.000000000,1627651920000000000,1044.0,1044.5,1042.0,1043.5,1718,316247,315850
2021-07-30 21:33:00.000000000,1627651980000000000,1043.5,1046.0,1043.0,1045.0,904,315850,315724
2021-07-30 21:34:00.000000000,1627652040000000000,1045.0,1047.5,1044.5,1047.0,572,315724,315634
2021-07-30 21:35:00.000000000,1627652100000000000,1047.0,1048.5,1046.5,1048.0,985,315634,315374
2021-07-30 21:36:00.000000000,1627652160000000000,1048.0,1049.5,1048.0,1049.0,635,315374,315173
